internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
104176764,Brevitrygon walga,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Brevitrygon,walga,,,,,"(Müller &amp; Henle, 1841)","Last <em>et al</em>. (2016a) placed <em>Himantura heterurus</em>, <em>H. imbricata</em>, <em>H. javaensis</em>, and <em>H. walga</em> within the new genus <em>Brevitrygon, </em>previously confused with other dwarf whiprays (<em>Brevitrygon </em>species) (Last <em>et al. </em>2016b). There remains considerable taxonomic confusion over '<em>B. walga</em>' with different forms across its range. These may turn out to represent a series of different species."
112949827,Orbiraja jensenae,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Orbiraja,jensenae,,,,,"(Last &amp; Lim, 2010)",<span>This species has been relocated from the genus <em>Okamejei </em>to <em>Orbiraja</em> (Last <em>et al. </em>2016a).
44996,Squatina africana,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,africana,,,,,"Regan, 1908",
154748,Lophius vomerinus,ANIMALIA,CHORDATA,ACTINOPTERYGII,LOPHIIFORMES,LOPHIIDAE,Lophius,vomerinus,,,,,"Valenciennes, 1837",
154777,Ophidion fulvum,ANIMALIA,CHORDATA,ACTINOPTERYGII,OPHIDIIFORMES,OPHIDIIDAE,Ophidion,fulvum,,,,,"(Hildebrand &amp; Barton, 1949)",
154874,Hetereleotris georgegilli,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Hetereleotris,georgegilli,,,,,"Gill, 1998",
69182988,Parupeneus porphyreus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,MULLIDAE,Parupeneus,porphyreus,,,,,"(Jenkins, 1903)",
69738927,Siganus uspi,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SIGANIDAE,Siganus,uspi,,,,,"Gawel &amp; Woodland, 1974",
116880357,Squatina david,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,david,,,,,"Acero P., Tavera, Anguila &amp; Hernández, 2016","Until this species' formal description in 2016 (Acero <em>et al.</em> 2016), angel sharks caught in the southern Caribbean were thought to be <em>Squatina dumeril. </em>Further work is needed to determine whether and where the ranges of these two species overlap."
117044000,Eviota indica,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Eviota,indica,,,,,"Lachner &amp; Karnella, 1980",
41861,Squalus rancureli,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUALIFORMES,SQUALIDAE,Squalus,rancureli,,,,,"Fourmanoir &amp; Rivaton, 1979","Viana and de Carvalho (2018) propose&#160;<em>S. rancureli</em>&#160;as a junior synonym of&#160;<em>S. melanurus</em>,<em>&#160;</em>however the reported differences in colour pattern, morphology and mersitics indicate that further sampling, and a genetic comparison of the two nominal species is needed to support their synonymy.&#160;The distributions of&#160;<em>Squalus melanurus</em>&#160;and&#160;<em>S. rancureli</em>&#160;also need to be clarified through examination of collected materials. The correct taxonomic authority for this species requires&#160;clarification."
122055267,Gymnogobius cylindricus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Gymnogobius,cylindricus,,,,,"(Tomiyama, 1936)",
122055381,Luciogobius ryukyuensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Luciogobius,ryukyuensis,,,,,"Chen, Suzuki &amp; Senou, 2008",
122055529,Parkraemeria saltator,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,GOBIIDAE,Parkraemeria,saltator,,,,,"Suzuki &amp; Senou, 2013",
39349,Scyliorhinus capensis,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Scyliorhinus,capensis,,,,,"(Müller &amp; Henle, 1838)",
39357,Mustelus asterias,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,asterias,,,,,"Cloquet, 1819",
41730,Atelomycterus marmoratus,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Atelomycterus,marmoratus,,,,,"(Anonymous [Bennett], 1830)",
44596,Sympterygia brevicaudata,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Sympterygia,brevicaudata,,,,,"(Cope, 1877)",
44600,Anacanthobatis marmorata,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ANACANTHOBATIDAE,Anacanthobatis,marmorata,,,,,"(von Bonde &amp; Swart, 1923)",
44606,Cephaloscyllium sufflans,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Cephaloscyllium,sufflans,,,,,"(Regan, 1921)",
