"genus_species","iucn_authority","iucn_category"
"Epinephelus moara","(Temminck &amp; Schlegel, 1843)","dd"
"Branchiostegus ilocanus","Herre, 1928","dd"
"Branchiostegus saitoi","Dooley &amp; Iwatsuki, 2012","dd"
"Branchiostegus vittatus","Herre, 1926","dd"
"Pherallodus smithi","Briggs, 1955","dd"
"Oligolepis formosanus","(Nichols, 1958)","dd"
"Gyrinomimus parri","Bigelow, 1961","dd"
"Cetomimus kerdops","Parr, 1934","dd"
"Oneirodes macronema","(Regan &amp; Trewavas, 1932)","dd"
"Parioglossus caeruleolineatus","Suzuki, Yonezawa &amp; Sakaue, 2010","dd"
"Ateleopus edentatus","Kaga, 2016","dd"
"Guentherus katoi","Senou, Kuwayama &amp; Hirate, 2008","dd"
"Ijimaia dofleini","Sauter, 1905","dd"
"Ijimaia fowleri","Howell Rivero, 1935","dd"
"Parateleopus microstomus","Smith &amp; Radcliffe, 1912","dd"
"Hime capitonis","Gomon &amp; Struthers, 2015","dd"
"Hime caudizoma","Gomon &amp; Struthers, 2015","dd"
"Hime formosanus","(Lee &amp; Chao, 1994)","dd"
"Hime japonica","(Günther, 1877)","dd"
"Hime microps","Parin &amp; Kotlyar, 1989","dd"
"Leptaulopus erythrozonatus","Gomon, Struthers &amp; Stewart, 2013","dd"
"Chlorophthalmus chalybeius","(Goode, 1881)","dd"
"Chlorophthalmus ichthyandri","Kotlyar &amp; Parin, 1986","dd"
"Chlorophthalmus productus","Günther, 1887","dd"
"Chlorophthalmus vityazi","Kobyliansky, 2013","dd"
"Chlorophthalmus zvezdae","Kotlyar &amp; Parin, 1986","dd"
"Bathymicrops belyaninae","Nielsen &amp; Merrett, 1992","dd"
"Bathypterois andriashevi","Sulak &amp; Shcherbachev, 1988","dd"
"Bathypterois longicauda","Günther, 1878","dd"
"Discoverichthys praecox","Merrett &amp; Nielsen, 1987","dd"
"Ipnops pristibrachium","(Fowler, 1943)","dd"
"Lestidiops bathyopteryx","(Fowler, 1944)","dd"
"Lestidiops indopacifica","(Ege, 1953)","dd"
"Lestidium bigelowi","Graae, 1967","dd"
"Lestidiops luetkeni","(Ege, 1933)","dd"
"Macroparalepis johnfitchi","(Rofen, 1960)","dd"
"Stemonosudis distans","(Ege, 1957)","dd"
"Stemonosudis similis","(Ege, 1957)","dd"
"Paraulopus atripes","Sato &amp; Nakabo, 2003","dd"
"Paraulopus japonicus","(Kamohara, 1956)","dd"
"Paraulopus legandi","(Fourmanoir &amp; Rivaton, 1979)","dd"
"Pseudotrichonotus altivelis","Yoshino &amp; Araga, 1975","dd"
"Pseudotrichonotus belos","Gill &amp; Pogonoski, 2016","dd"
"Pseudotrichonotus caeruleoflavus","Allen, Erdmann, Suharti &amp; Sianipar, 2017","dd"
"Pseudotrichonotus xanthotaenia","Parin, 1992","dd"
"Rosenblattichthys nemotoi","Okiyama &amp; Johnson, 1986","dd"
"Scopelarchoides climax","Johnson, 1974","dd"
"Harpadon erythraeus","Klausewitz, 1983","dd"
"Harpadon mortenseni","Hardenberg, 1933","dd"
"Harpadon nudus","Ganga, Thomas &amp; Sukumaran, 2016","dd"
"Harpadon squamosus","Alcock, 1891","dd"
"Saurida golanii","Russell, 2011","dd"
"Saurida wanieso","Shindo &amp; Yamada, 1972","dd"
"Synodus fasciapelvicus","Randall, 2009","dd"
"Synodus gibbsi","Cressey, 1981","dd"
"Synodus mascarensis","Prokofiev, 2008","dd"
"Synodus nigrotaeniatus","Allen, Erdmann &amp; Peristiwady, 2017","dd"
"Synodus orientalis","Randall &amp; Pyle, 2008","dd"
"Synodus sanguineus","Randall, 2009","dd"
"Synodus vityazi","Ho, Prokofiev &amp; Shao, 2010","dd"
"Parmops coruscans","Rosenblatt &amp; Johnson, 1991","dd"
"Parmops echinatus","Johnson, Seeto &amp; Rosenblatt, 2001","dd"
"Anoplogaster brachycera","Kotlyar, 1986","dd"
"Centroberyx rubricaudus","Liu &amp; Shen, 1985","dd"
"Aulotrachichthys atlanticus","(Menezes, 1971)","dd"
"Aulotrachichthys pulsator","Gomon &amp; Kuiter, 1987","dd"
"Hoplostethus abramovi","Kotlyar, 1986","dd"
"Hoplostethus fedorovi","Kotlyar 19,86","dd"
"Hoplostethus fragilis","(de Buen, 1959)","dd"
"Hoplostethus grandperrini","Roberts &amp; Gomon, 2012","dd"
"Hoplostethus pacificus","Garman, 1899","dd"
"Hoplostethus rifti","Kotlyar, 1986","dd"
"Hoplostethus tenebricus","Kotlyar, 1980","dd"
"Parinoberyx horridus","Kotlyar, 1984","dd"
"Gyrinomimus andriashevi","Fedorov, Balushkin &amp; Trunov, 1987","dd"
"Notocetichthys trunovi","Balushkin, Fedorov &amp; Paxton, 1989","dd"
"Lophotus machadoi","Miranda Ribeiro, 1927","dd"
"Trachipterus arawatae","Clarke, 1881","dd"
"Trachipterus ishikawae","Jordan &amp; Snyder, 1901","dd"
"Brachiopsilus dossenus","Last &amp; Gledhill, 2009","dd"
"Pezichthys eltanini","Last &amp; Gledhill, 2009","dd"
"Pezichthys macropinnis","Last &amp; Gledhill, 2009","dd"
"Pezichthys nigrocilium","Last &amp; Gledhill, 2009","dd"
"Thymichthys verrucosus","(McCulloch &amp; Waite, 1918)","dd"
"Caulophryne bacescui","Mihai-Bardan, 1982","dd"
"Robia legula","Pietsch, 1979","dd"
"Periophthalmus novemradiatus","(Hamilton, 1822)","dd"
"Natalichthys leptus","Winterbottom, 1980","dd"
"Emmelichthys marisrubri","Fricke, Golani &amp; Appelbaum-Golani, 2014","dd"
"Amblyeleotris delicatulus","Smith, 1958","dd"
"Amblygobius sewardii","(Playfair, 1867)","dd"
"Drombus simulus","(Smith, 1960)","dd"
"Drombus bontii","(Bleeker, 1849)","dd"
"Knipowitschia iljini","Berg, 1931","dd"
"Mesogobius nonultimus","(Iljin, 1936)","dd"
"Odontamblyopus roseus","(Valenciennes, 1837)","dd"
"Odontamblyopus tenuis","(Day, 1876)","dd"
"Taenioides buchanani","(Day, 1873)","dd"
"Pomadasys laurentino","(Smith, 1953)","dd"
"Opistognathus ensiferus","Smith-Vaniz, 2016","dd"
"Opistognathus simus","Smith-Vaniz, 2010","dd"
"Opistognathus crassus","Smith-Vaniz, 2010","dd"
"Stalix davidsheni","Klausewitz, 1985","dd"
"Acanthoplesiops cappuccino","Gill, Bogorodsky &amp; Mal, 2013","dd"
"Plesiops malalaxus","Mooi, 1995","dd"
"Plesiops multisquamata","Inger, 1955","dd"
"Chlidichthys cacatuoides","Gill &amp; Randall, 1994","dd"
"Chlidichthys randalli","Lubbock, 1977","dd"
"Halidesmus coccus","Winterbottom &amp; Randall, 1994","dd"
"Halidesmus polytretus","Winterbottom, 1982","dd"
"Halidesmus socotraensis","Gill &amp; Zajonz, 2003","dd"
"Halimuraenoides isostigma","Maugé &amp; Bardach, 1985","dd"
"Natalichthys ori","Winterbottom, 1980","dd"
"Natalichthys sam","Winterbottom, 1980","dd"
"Pseudochromis aureolineatus","Gill, 2004","dd"
"Rusichthys explicitus","Winterbottom, 1996","dd"
"Rusichthys plesiomorphus","Winterbottom, 1979","dd"
"Arnoglossus dalgleishi","(von Bonde, 1922)","dd"
"Bothus swio","Hensley, 1997","dd"
"Chascanopsetta kenyaensis","Hensley &amp; Smale, 1998","dd"
"Engyprosopon latifrons","(Regan, 1908)","dd"
"Engyprosopon natalensis","Regan, 1920","dd"
"Engyprosopon sechellense","(Regan, 1908)","dd"
"Laeops natalensis","Norman, 1931","dd"
"Laeops pectoralis","(von Bonde, 1922)","dd"
"Laeops sinusarabici","Chabanaud, 1968","dd"
"Psettina brevirictis","(Alcock, 1890)","dd"
"Tosarhombus smithi","(Nielsen, 1964)","dd"
"Paracitharus macrolepis","(Gilchrist, 1904)","dd"
"Cynoglossus acaudatus","Gilchrist, 1906","dd"
"Cynoglossus dispar","Day, 1877","dd"
"Cynoglossus durbanensis","Regan, 1921","dd"
"Cynoglossus gilchristi","Regan, 1920","dd"
"Cynoglossus marleyi","Regan, 1921","dd"
"Cynoglossus semifasciatus","Day, 1877","dd"
"Symphurus microrhynchus","(Weber, 1913)","dd"
"Symphurus monostigmus","Munroe, 2006","dd"
"Symphurus ocellatus","von Bonde, 1922","dd"
"Symphurus trifasciatus","(Alcock, 1894)","dd"
"Symphurus variegatus","(Gilchrist, 1903)","dd"
"Pseudorhombus annulatus","Norman, 1927","dd"
"Pseudorhombus micrognathus","Norman, 1927","dd"
"Poecilopsetta vaynei","Quéro, Hensley &amp; Maugé, 1988","dd"
"Poecilopsetta zanzibarensis","Norman, 1939","dd"
"Samaris costae","Quéro, Hensley &amp; Maugé, 1989","dd"
"Samaris macrolepis","Norman, 1927","dd"
"Samariscus desoutterae","Quéro, Hensley &amp; Maugé, 1989","dd"
"Samariscus longimanus","Norman, 1927","dd"
"Samariscus nielseni","Quéro, Hensley &amp; Maugé, 1989","dd"
"Aseraggodes brevirostris","Randall &amp; Gon, 2006","dd"
"Aseraggodes guttulatus","Kaup, 1858","dd"
"Aseraggodes jenny","Randall &amp; Gon, 2006","dd"
"Aseraggodes sinusarabici","Chabanaud, 1931","dd"
"Aseraggodes steinitzi","Joglekar, 1971","dd"
"Barnardichthys fulvomarginata","(Gilchrist, 1904)","dd"
"Bathysolea lagarderae","Quéro &amp; Desoutter, 1990","dd"
"Brachirus macrolepis","(Bleeker, 1858)","dd"
"Heteromycteris oculus","(Alcock, 1889)","dd"
"Pardachirus morrowi","(Chabanaud, 1954)","dd"
"Solea heinii","Steindachner, 1903","dd"
"Soleichthys tubiferus","(Peters, 1876)","dd"
"Dagetichthys marginatus","(Boulenger, 1900)","dd"
"Zebrias maculosus","Oommen, 1977","dd"
"Gogolia filewoodi","Compagno, 1973","dd"
"Bythaelurus clevai","(Séret, 1987)","dd"
"Bythaelurus lutarius","(Springer &amp; D'Aubrey, 1972)","dd"
"Dipturus lanceorostratus","(Wallace, 1967)","dd"
"Dipturus stenorhynchus","(Wallace, 1967)","dd"
"Torpedo fuscomaculata","Peters, 1855","dd"
"Urobatis marmoratus","(Philippi, 1892)","dd"
"Spinilophus armatus","(Müller &amp; Henle, 1841)","dd"
"Urolophus kaianus","Günther, 1880","dd"
"Rhinobatos nudidorsalis","Last, Compagno &amp; Nakaya, 2004","dd"
"Chimaera jordani","Tanaka, 1905","dd"
"Chimaera owstoni","Tanaka, 1905","dd"
"Hydrolagus barbouri","(Garman, 1908)","dd"
"Scyliorhinus cervigoni","Maurin &amp; Bonnet, 1970","dd"
"Dipturus ecuadoriensis","(Beebe &amp; Tee-Van, 1941)","dd"
"Cruriraja durbanensis","(von Bonde &amp; Swart, 1923)","dd"
"Raja herwigi","Krefft, 1965","dd"
"Fenestraja sibogae","(Weber, 1913)","dd"
"Cirrhoscyllium expolitum","Smith &amp; Radcliffe, 1913","dd"
"Amblyraja taaf","(Meisner, 1987)","dd"
"Aetomylaeus asperrimus","(Gilbert, 1898)","dd"
"Dipturus kwangtungensis","(Chu, 1960)","dd"
"Rhinobatos holcorhynchus","Norman, 1922","dd"
"Scyliorhinus comoroensis","Compagno, 1988","dd"
"Scyliorhinus garmani","(Fowler, 1934)","dd"
"Amblyraja georgiana","(Norman, 1938)","dd"
"Orbiraja philipi","(Lloyd, 1906)","dd"
"Fenestraja maceachrani","(Séret, 1989)","dd"
"Holohalaelurus grennian","Human, 2006","dd"
"Okamejei mengae","Jeong, Nakabo &amp; Wu, 2007","dd"
"Narcine insolita","Carvalho, Séret &amp; Compagno, 2002","dd"
"Scymnodalatias garricki","Kukuev &amp; Konovalenko, 1988","dd"
"Narcine rierai","(Lloris &amp; Rucabado, 1991)","dd"
"Acroteriobatus ocellatus","(Norman, 1926)","dd"
"Leucoraja compagnoi","(Stehmann, 1995)","dd"
"Cruriraja andamanica","(Lloyd, 1909)","dd"
"Dipturus wuhanlingi","Jeong &amp; Nakabo, 2008","dd"
"Squalus mahia","Viana, Lisher &amp; de Carvalho, 2017","dd"
"Bythaelurus bachi","Weigmann, Ebert, Clerkin, Stehmann &amp; Naylor, 2016","dd"
"Bythaelurus naylori","Ebert &amp; Clerkin, 2015","dd"
"Rhinobatos austini","Ebert &amp; Gon, 2017","dd"
"Chimaera buccanigella","Clerkin, Ebert &amp; Kemper, 2017","dd"
"Chimaera didierae","Clerkin, Ebert &amp; Kemper, 2017","dd"
"Chimaera willwatchi","Clerkin, Ebert, &amp; Kemper, 2017","dd"
"Hydrolagus erithacus","Walovich, Ebert, &amp; Kemper, 2017","dd"
"Chiloscyllium caeruleopunctatum","Pellegrin, 1914","dd"
"Lentipes mekonggaensis","Keith &amp; Hadiaty, 2014","dd"
"Zenarchopterus xiphophorus","Mohr, 1934","dd"
"Brinkmannella elongata","Parr, 1933","dd"
"Neostethus amaricola","(Villadolid &amp; Manacop, 1934)","dd"
"Gulaphallus panayensis","(Herre, 1942)","dd"
"Planiliza tade","(Forsskål, 1775)","dd"
"Micropogonias manni","(Moreno, 1970)","dd"
"Chimaera orientalis","Angulo, López, Bussing &amp; Murase, 2014","dd"
"Squalus albicaudus","Viana, Carvalho &amp; Gomes, 2016","dd"
"Squalus bahiensis","Viana, Carvalho &amp; Gomes, 2016","dd"
"Squalus lobularis","Viana, Carvalho &amp; Gomes, 2016","dd"
"Squalus quasimodo","Viana, Carvalho &amp; Gomes, 2016","dd"
"Discopyge castelloi","Menni, Rincón &amp; García, 2008","dd"
"Dipturus argentinensis","Díaz de Astarloa, Mabragaña, Hanner &amp; Figueroa, 2008","dd"
"Diaphus agassizii","Gilbert, 1908","dd"
"Diaphus basileusi","Becker &amp; Prut'ko, 1984","dd"
"Diaphus confusus","Becker, 1992","dd"
"Diaphus dahlgreni","Fowler, 1934","dd"
"Diaphus drachmanni","Tåning, 1932","dd"
"Lampanyctus bensoni","(Fowler, 1934)","dd"
"Elops affinis","Regan 1909","dd"
"Eviota nigrispina","Greenfield &amp; Suzuki, 2010","dd"
"Bathophilus proximus","Regan &amp; Trewavas, 1930","dd"
"Bathymicrops multispinis","Nielsen &amp; Merrett, 1992","dd"
"Doryichthys boaja","(Bleeker, 1850)","dd"
"Argyrosomus hololepidotus","(Lacepède, 1801)","dd"
"Atrobucca kyushini","Sasaki &amp; Kailola, 1988","dd"
"Bahaba chaptis","(Hamilton, 1822)","dd"
"Diaphus kora","Nafpaktitis, Robertson &amp; Paxton, 1995","dd"
"Diaphus pallidus","Gjøsaeter, 1989","dd"
"Diaphus parini","Becker, 1992","dd"
"Protomyctophum chilense","Wisner, 1971","dd"
"Protomyctophum kolaevi","Prokofiev, 2004","dd"
"Protomyctophum mcginnisi","Prokofiev, 2004","dd"
"Tarletonbeania tenua","Eigenmann &amp; Eigenmann, 1890","dd"
"Cheilotrema saturnum","(Girard, 1858)","dd"
"Cilus gilberti","(Abbott, 1899)","dd"
"Corvula macrops","(Steindachner, 1876)","dd"
"Ctenosciaena peruviana","Chirichigno F., 1969","dd"
"Cynoscion albus","(Günther, 1864)","dd"
"Cynoscion nortoni","Béarez, 2001","dd"
"Cynoscion parvipinnis","Ayres, 1861","dd"
"Cynoscion praedatorius","(Jordan &amp; Gilbert, 1889)","dd"
"Cynoscion xanthulus","Jordan &amp; Gilbert, 1882","dd"
"Johnius laevis","Sasaki &amp; Kailola, 1991","dd"
"Macrodon mordax","(Gilbert &amp; Starks, 1904)","dd"
"Menticirrhus undulatus","(Girard, 1854)","dd"
"Micropogonias fasciatus","(de Buen, 1961)","dd"
"Paranebris bauchotae","Chao, Béarez &amp; Robertson, 2001","dd"
"Pareques perissa","(Heller &amp; Snodgrass, 1903)","dd"
"Stellifer walkeri","Chao, 2001","dd"
"Stellifer wintersteenorum","Chao, 2001","dd"
"Umbrina imberbis","Günther, 1873","dd"
"Umbrina ronchus","Valenciennes, 1843","dd"
"Umbrina steindachneri","Cadenat, 1951","dd"
"Umbrina wintersteeni","Walker &amp; Radford, 1992","dd"
"Eustomias decoratus","Gibbs, 1971","dd"
"Eustomias pinnatus","Clarke, 1999","dd"
"Eustomias pyrifer","Regan &amp; Trewavas, 1930","dd"
"Monognathus boehlkei","Bertelsen &amp; Nielsen, 1987","dd"
"Neobythites multidigitatus","Nielsen, 1999","dd"
"Meteoria erythrops","Nielsen, 1969","dd"
"Stolephorus continentalis","Hata &amp; Motomura, 2018","dd"
"Stolephorus oceanicus","Hardenberg, 1933","dd"
"Neochelon falcipinnis","(Valenciennes, 1836)","dd"
"Tetragondacnus spilotus","Anderson &amp; Satria, 2007","dd"
"Barathronus linsi","Nielsen, Mincarone &amp; Di Dario, 2015","dd"
"Barathronus unicolor","Nielsen, 1984","dd"
"Bellottia cryptica","Nielsen, Ross &amp; Cohen, 2009","dd"
"Bellottia robusta","Nielsen, Ross &amp; Cohen, 2009","dd"
"Bythites fuscus","Reinhardt 1837","dd"
"Paraphyonus iselini","Nielsen, 2015","dd"
"Meteoria longidorsalis","Nielsen, 2016","dd"
"Nybelinella brevianalis","Nielsen, 2017","dd"
"Parasciadonus brevibrachium","Nielsen, 1984","dd"
"Saccogaster parva","Cohen &amp; Nielsen, 1972","dd"
"Sciadonus robinsorum","Nielsen, 2018","dd"
"Thalassobathia nelsoni","Lee, 1974","dd"
"Echiodon atopus","Anderson, 2005","dd"
"Dicrolene pallidus","Hureau &amp; Nielsen, 1981","dd"
"Luciobrotula brasiliensis","Nielsen, 2009","dd"
"Ophidion puck","Lea &amp; Robins, 2003","dd"
"Ophidion saldanhai","Matallanas &amp; Brito, 1999","dd"
"Porogadus silus","Carter &amp; Sulak, 1984","dd"
"Pycnocraspedum phyllosoma","(Parr, 1933)","dd"
"Pseudoscopelus albeolus","Prokofiev &amp; Kukuev, 2008","dd"
"Pseudoscopelus aphos","Prokofiev &amp; Kukuev, 2005","dd"
"Pseudoscopelus cordilluminatus","Melo, 2010","dd"
"Coryphopterus curasub","Baldwin &amp; Robertson, 2015","dd"
"Pinnichthys prolata","(Hastings &amp; Findley, 2015)","dd"
"Pinnichthys saurimimica","Van Tassell &amp; Tornabene, 2016","dd"
"Psilotris laetarii","Van Tassell &amp; Young, 2016","dd"
"Psilotris laurae","Van Tassell, Tornabene &amp; Baldwin 2016","dd"
"Varicus cephalocellatus","Gilmore, Van Tassell &amp; Baldwin, 2016","dd"
"Varicus decorum","Van Tassell, Baldwin &amp; Tornabene, 2016","dd"
"Varicus lacerta","Tornabene, Robertson &amp; Baldwin, 2016","dd"
"Varicus nigritus","Gilmore, Van Tassell &amp; Baldwin, 2016","dd"
"Lipogramma barrettorum","Baldwin, Nonaka &amp; Robertson, 2018","dd"
"Lipogramma haberorum","Baldwin, Nonaka &amp; Robertson, 2016","dd"
"Lipogramma schrieri","Baldwin, Nonaka &amp; Robertson, 2018","dd"
"Lonchopisthus ancistrus","Smith-Vaniz &amp; Walsh, 2017","dd"
"Polymixia salagomeziensis","Kotlyar, 1991","dd"
"Polymixia sazonovi","Kotlyar, 1992","dd"
"Polymixia yuri","Kotlyar, 1982","dd"
"Saccopharynx harrisoni","Beebe, 1932","dd"
"Saccopharynx hjorti","Bertin 1938","dd"
"Saccopharynx paucovertebratis","Nielsen &amp; Bertelsen, 1985","dd"
"Saccopharynx trilobatus","Nielsen &amp; Bertelsen, 1985","dd"
"Peristedion unicuspis","Miller, 1967","dd"
"Melamphaes inconspicuus","Kotlyar 2015","dd"
"Melamphaes kobylyanskyi","Kotlyar, 2015","dd"
"Melamphaes lentiginosus","Kotlyar, 2015","dd"
"Melamphaes manifestus","Kotlyar, 2011","dd"
"Poromitra coronata","(Gilchrist &amp; von Bonde, 1924)","dd"
"Poromitra kukuevi","Kotlyar, 2008","dd"
"Scopeloberyx bannikovi","Kotlyar, 2004","dd"
"Maurolicus inventionis","Parin &amp; Kobyliansky, 1993","dd"
"Astronesthes barbatus","Kner, 1860","dd"
"Astronesthes oligoa","Parin &amp; Borodulina, 2002","dd"
"Astronesthes tanibe","Parin &amp; Borodulina, 2001","dd"
"Astronesthes zetgibbsi","Parin &amp; Borodulina, 1997","dd"
"Chauliodus dentatus","Garman, 1899","dd"
"Eustomias austratlanticus","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias curtifilis","Clarke, 2000","dd"
"Eustomias digitatus","Gomon &amp; Gibbs, 1985","dd"
"Eustomias dispar","Gomn &amp; Gibbs, 1985","dd"
"Eustomias globulifer","Regan &amp; Trewavas, 1930","dd"
"Eustomias grandibulbus","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias ignotus","Gomon &amp; Gibbs, 1985","dd"
"Eustomias kikimora","Prokofiev, 2015","dd"
"Eustomias medusa","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias metamelas","Gomon &amp; Gibbs, 1985","dd"
"Eustomias micropterygius","Parr, 1927","dd"
"Eustomias precarius","Gomon &amp; Gibbs, 1985","dd"
"Eustomias quadrifilis","Gomon &amp; Gibbs, 1985","dd"
"Eustomias silvescens","Regan &amp; Trewavas, 1930","dd"
"Grammatostomias ovatus","Prokofiev, 2014","dd"
"Leptostomias analis","Regan &amp; Trewavas, 1930","dd"
"Leptostomias macropogon","Norman, 1930","dd"
"Melanostomias pauciradius","Matsubara, 1938","dd"
"Photonectes cornutus","Beebe, 1933","dd"
"Photonectes uncinatus","Prokofiev, 2015","dd"
"Chelon dumerili","(Steindachner, 1870)","dd"
"Chelon bandialensis","(Diouf, 1991)","dd"
"Lophiodes fimbriatus","Saruwatari &amp; Mochizuki, 1985","dd"
"Lophius litulon","(Jordan, 1902)","dd"
"Sladenia gardineri","Regan, 1908","dd"
"Sladenia zhui","Ni, Wu &amp; Li, 2012","dd"
"Beaglichthys larsonae","Schwarzhans &amp; Møller, 2007","dd"
"Acarobythites larsonae","Machida, 2000","dd"
"Anacanthobythites platycephalus","Anderson, 2008","dd"
"Anacanthobythites tasmaniensis","Anderson, 2008","dd"
"Barathronus affinis","Brauer, 1906","dd"
"Barathronus bruuni","Nielsen, 1969","dd"
"Bidenichthys slartibartfasti","(Paulin, 1995)","dd"
"Cataetyx hawaiiensis","Gosline, 1954","dd"
"Cataetyx platyrhynchus","Machida, 1984","dd"
"Diplacanthopoma brunneum","Smith &amp; Radcliffe, 1913","dd"
"Diplacanthopoma japonicum","(Steindachner &amp; Döderlein, 1887)","dd"
"Diplacanthopoma kreffti","Cohen &amp; Nielsen, 2002","dd"
"Diplacanthopoma nigripinnis","Gilchrist &amp; von Bonde, 1924","dd"
"Diplacanthopoma riversandersoni","Alcock, 1895","dd"
"Grammonus nagaredai","Randall &amp; Hughes, 2008","dd"
"Grammonus opisthodon","Smith, 1934","dd"
"Grammonus thielei","Nielsen &amp; Cohen, 2004","dd"
"Grammonus yunokawai","Nielsen, 2007","dd"
"Hastatobythites arafurensis","Machida, 1997","dd"
"Lucifuga inopinata","Cohen &amp; McCosker, 1998","dd"
"Meteoria pauciradiatus","(Nielsen, 1997)","dd"
"Microbrotula greenfieldi","Anderson, 2007","dd"
"Microbrotula punicea","Anderson, 2007","dd"
"Microbrotula queenslandica","Anderson, 2005","dd"
"Microbrotula rubra","Gosline, 1953","dd"
"Nybelinella brevidorsalis","Shcherbachev, 1976","dd"
"Parabrotula tanseimaru","Miya &amp; Nielsen, 1991","dd"
"Paraphyonus brevidorsalis","(Nielsen, 1969)","dd"
"Paraphyonus merretti","Nielsen, 2015","dd"
"Paraphyonus solomonensis","(Nielsen &amp; Møller, 2008)","dd"
"Saccogaster brayae","Nielsen, Schwarzhans &amp; Cohen, 2012","dd"
"Saccogaster hawaii","Cohen &amp; Nielsen, 1972","dd"
"Saccogaster horrida","Nielsen, Schwarzhans &amp; Cohen, 2012","dd"
"Saccogaster maculata","Alcock, 1889","dd"
"Saccogaster nikoliviae","Nielsen, Schwarzhans &amp; Cohen, 2012","dd"
"Sciadonus longiventralis","Nielsen, 2018","dd"
"Tuamotuichthys bispinosus","Møller, Schwarzhans &amp; Nielsen, 2004","dd"
"Tuamotuichthys marshallensis","Nielsen, Schwarzhans, Møller &amp; Randall, 2006","dd"
"Tuamotuichthys schwarzhansi","Nielsen &amp; Møller, 2008","dd"
"Thermichthys hollisi","(Cohen, Rosenblatt &amp; Moser, 1990)","dd"
"Timorichthys angustus","Nielsen, Okamoto &amp; Schwarzhans, 2013","dd"
"Carapus sluiteri","(Weber 1905)","dd"
"Echiodon anchipterus","Williams, 1984","dd"
"Echiodon neotes","Markle &amp; Olney, 1990","dd"
"Echiodon prionodon","Parmentier, 2012","dd"
"Echiodon pukaki","Markle &amp; Olney 1990","dd"
"Encheliophis chardewalli","Parmentier, 2004","dd"
"Encheliophis vermiops","Markle &amp; Olney, 1990","dd"
"Eurypleuron owasianum","(Matsubara, 1953)","dd"
"Eusurculus andamanensis","Schwarzhans &amp; Møller, 2007","dd"
"Abyssobrotula hadropercularis","Ohashi &amp; Nielsen, 2016","dd"
"Alionematichthys phuketensis","Møller &amp; Schwarzhans, 2008","dd"
"Alionematichthys shinoharai","Møller &amp; Schwarzhans, 2008","dd"
"Apagesoma australe","Nielsen, King &amp; Møller, 2008","dd"
"Araiophos gracilis","Grey, 1961","dd"
"Argyripnus boreopacificus","Prokofiev, 2017","dd"
"Argyripnus electronus","Parin, 1992","dd"
"Argyripnus hulleyi","Quéro, Spitz &amp; Vayne, 2009","dd"
"Astronesthes dupliglandis","Parin &amp; Borodulina, 1997","dd"
"Astronesthes formosana","Liao, Chen &amp; Shao, 2006","dd"
"Astronesthes lupina","Whitley, 1941","dd"
"Barathrodemus nasutus","Smith &amp; Radcliffe, 1913","dd"
"Bassozetus mozambiquensis","Tomiyama, Takami &amp; Fukui, 2016","dd"
"Bassozetus multispinis","Shcherbachev, 1980","dd"
"Bassozetus werneri","Nielsen &amp; Merrett, 2000","dd"
"Benthocometes australiensis","Nielsen, 2010","dd"
"Brotula flaviviridis","Greenfield, 2005","dd"
"Brotula phenax","Prokofiev, 2007","dd"
"Danaphos asteroscopus","Bruun, 1931","dd"
"Dentex carpenteri","Iwatsuki, Newman &amp; Russell, 2015","dd"
"Dermatopsoides kasougae","(Smith, 1943)","dd"
"Dermatopsoides morrisonae","Møller &amp; Schwarzhans, 2006","dd"
"Diancistrus alatus","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus jackrandalli","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus leisi","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus manciporus","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus niger","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus pohnpeiensis","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus robustus","Schwarzhans, Møller &amp; Nielsen, 2005","dd"
"Diancistrus typhlops","Nielsen, Schwarzhans &amp; Hadiaty, 2009","dd"
"Dicrolene vaillanti","(Alcock, 1890)","dd"
"Dicrolene gregoryi","Trotter, 1926","dd"
"Dicrolene pullata","Garman, 1899","dd"
"Diplodus levantinus","Fricke, Golani &amp; Appelbaum-Golani, 2016","dd"
"Diplophos pacificus","Günther, 1889","dd"
"Diplostomias indicus","Kotthaus, 1967","dd"
"Echiodon coheni","Williams, 1984","dd"
"Enchelybrotula gomoni","Cohen, 1982","dd"
"Enchelybrotula paucidens","Smith &amp; Radcliffe, 1913","dd"
"Eupogonesthes xenicus","Parin &amp; Borodulina, 1993","dd"
"Eustomias australensis","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias bertelseni","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias bituberoides","Gibbs, Clarke &amp; Gomon, 1983","dd"
"Eustomias bulbiramis","Clarke, 2001","dd"
"Eustomias crucis","Gibbs &amp; Craddock, 1973","dd"
"Eustomias curtatus","Gibbs, Clarke &amp; Gomon, 1983","dd"
