"genus_species","iucn_authority","iucn_category"
"Albula argentea","(Forster, 1801)","dd"
"Albula oligolepis","Hidaka, Iwatsuki &amp; Randall, 2008","dd"
"Albula virgata","Jordan &amp; Jordan, 1922","dd"
"Pterothrissus belloci","Cadenat, 1937","dd"
"Pterothrissus gissu","Hilgendorf, 1877","dd"
"Elops hawaiensis","Regan, 1909","dd"
"Elops smithi","McBride, Rocha, Ruiz-Carus &amp; Bowen, 2010","dd"
"Lutjanus agennes","Bleeker, 1863","dd"
"Paracaesio waltervadi","Anderson &amp; Collette, 1992","dd"
"Ocyurus chrysurus","(Bloch, 1791)","dd"
"Lutjanus goreensis","(Valenciennes, 1830)","dd"
"Lutjanus endecacanthus","Bleeker, 1863","dd"
"Lutjanus dentatus","(Duméril, 1861)","dd"
"Paracaesio paragrapsimodon","Anderson &amp; Kailola, 1992","dd"
"Anisotremus surinamensis","(Bloch, 1791)","dd"
"Parakuhlia macrophthalmus","(Osório, 1893)","dd"
"Plectorhinchus chubbi","(Regan, 1919)","dd"
"Plectorhinchus mediterraneus","(Guichenot, 1850)","dd"
"Salilota australis","(Günther, 1878)","dd"
"Patagonotothen ramsayi","(Regan, 1913)","dd"
"Bathygobius geminatus","Tornabene, Baldwin &amp; Pezold, 2010","dd"
"Chlopsis dentatus","(Seale, 1917)","dd"
"Anarchias supremus","McCosker &amp; Stewart, 2006","dd"
"Diaphenchelys pelonates","McCosker &amp; Randall, 2007","dd"
"Enchelycore nycturanus","Smith, 2002","dd"
"Gymnothorax austrinus","Böhlke &amp; McCosker, 2001","dd"
"Gymnothorax bacalladoi","Böhlke &amp; Brito, 1987","dd"
"Gymnothorax hansi","Heemstra, 2004","dd"
"Gymnothorax polyspondylus","Böhlke &amp; Randall, 2000","dd"
"Gymnothorax prolatus","Sasaki &amp; Amaoka, 1991","dd"
"Gymnothorax randalli","Smith &amp; Böhlke, 1997","dd"
"Gymnothorax sagmacephalus","Böhlke, 1997","dd"
"Gymnothorax shaoi","Chen &amp; Loh, 2007","dd"
"Gymnothorax sokotrensis","Kotthaus, 1968","dd"
"Gymnothorax vagrans","(Seale, 1917)","dd"
"Uropterygius genie","Randall &amp; Golani, 1995","dd"
"Uropterygius golanii","McCosker &amp; Smith, 1997","dd"
"Myroconger compressus","Günther, 1870","dd"
"Derilissus nanus","Briggs, 1969","dd"
"Gramma dejongi","Victor &amp; Randall, 2010","dd"
"Apogon amboinensis","Bleeker, 1853","dd"
"Lentipes rubrofasciatus","Maugé, Marquet &amp; Laboute, 1992","dd"
"Lentipes solomonensis","Jenkins, Allen &amp; Boseto, 2008","dd"
"Oligolepis stomias","(Smith, 1941)","dd"
"Parioglossus lineatus","Rennis &amp; Hoese, 1985","dd"
"Parioglossus marginalis","Rennis &amp; Hoese, 1985","dd"
"Parioglossus triquetrus","Rennis &amp; Hoese, 1985","dd"
"Schismatogobius fuligimentus","Chen, Séret, Pöllabauer &amp; Shao, 2001","dd"
"Schismatogobius vanuatuensis","Keith, Marquet &amp; Watson, 2004","dd"
"Sicyopterus macrostetholepis","(Bleeker, 1853)","dd"
"Sicyopterus marquesensis","Fowler, 1932","dd"
"Sicyopterus ouwensi","Weber, 1913","dd"
"Smilosicyopus bitaeniatus","(Maugé, Marquet &amp; Laboute, 1992)","dd"
"Stenogobius caudimaculosus","Watson, 1991","dd"
"Stenogobius marqueti","Watson, 1991","dd"
"Stenogobius randalli","Watson, 1991","dd"
"Stenogobius squamosus","Watson, 1991","dd"
"Stiphodon astilbos","Ryan, 1986","dd"
"Stiphodon hydroreibatus","Watson, 1999","dd"
"Stiphodon kalfatak","Keith, Marquet &amp; Watson, 2007","dd"
"Stiphodon mele","Keith, Marquet &amp; Pouilly, 2009","dd"
"Taenioides cirratus","(Blyth, 1860)","dd"
"Kuhlia malo","(Valenciennes, 1831)","dd"
"Kuhlia munda","(De Vis, 1884)","dd"
"Rhyacichthys guilberti","Dingerkus &amp; Séret, 1992","dd"
"Hippichthys albomaculosus","Jenkins &amp; Mailautoka, 2010","dd"
"Microphis cruentus","Dawson &amp; Fourmanoir, 1981","dd"
"Oneirodes bradburyae","Grey, 1956","dd"
"Parasaccogaster rhamphidognatha","(Cohen, 1987)","dd"
"Eustomias leptobolus","Regan &amp; Trewavas, 1930","dd"
"Cathorops belizensis","Marceniuk &amp; Betancur-R., 2008","dd"
"Doiichthys novaeguineae","Weber, 1913","dd"
"Sciades passany","(Valenciennes, 1840)","dd"
"Liza grandisquamis","(Valenciennes, 1836)","dd"
"Rhombosolea retiaria","Hutton, 1874","dd"
"Ariosoma anago","(Temminck &amp; Schlegel, 1846)","dd"
"Ophichthus leonensis","Blache, 1975","dd"
"Heteroconger tricia","Castle &amp; Randall, 1999","dd"
"Promyllantor atlanticus","Karmovskaya, 2006","dd"
"Ichthyapus insularis","McCosker, 2004","dd"
"Ariosoma obud","Herre, 1923","dd"
"Gorgasia sillneri","Klausewitz, 1962","dd"
"Gorgasia inferomaculata","(Blache, 1977)","dd"
"Ariosoma bauchotae","Karrer, 1982","dd"
"Hemerorhinus opici","Blache &amp; Bauchot, 1972","dd"
"Ariosoma multivertebratum","Karmovskaya, 2004","dd"
"Heteroconger tomberua","Castle &amp; Randall, 1999","dd"
"Xyrias guineensis","(Blache, 1975)","dd"
"Ariosoma ophidiophthalmus","Karmovskaya, 1991","dd"
"Ariosoma anagoides","(Bleeker, 1853)","dd"
"Dalophis obtusirostris","Blache &amp; Bauchot, 1972","dd"
"Ariosoma nigrimanum","Norman, 1939","dd"
"Heteroconger chapmani","(Herre, 1923)","dd"
"Herpetoichthys regius","(Richardson, 1848)","dd"
"Gnathophis xenica","(Matsubara &amp; Ochiai, 1951)","dd"
"Acromycter longipectoralis","Karmovskaya, 2004","dd"
"Gnathophis heterolinea","(Kotthaus, 1968)","dd"
"Kenyaconger heemstrai","Smith &amp; Karmovskaya, 2003","dd"
"Dalophis multidentatus","Blache &amp; Bauchot, 1972","dd"
"Castleichthys auritus","Smith, 2004","dd"
"Apterichtus gracilis","(Kaup, 1856)","dd"
"Conger philippinus","Kanazawa, 1958","dd"
"Histiobranchus bathybius","(Günther, 1877)","dd"
"Gordiichthys ergodes","McCosker, Böhlke &amp; Böhlke, 1989","dd"
"Bathycongrus bleekeri","Fowler, 1934","dd"
"Ariosoma mellissii","(Günther, 1870)","dd"
"Ariosoma megalops","Fowler, 1938","dd"
"Ariosoma kapala","(Castle, 1990)","dd"
"Bathycongrus trilineatus","(Castle, 1964)","dd"
"Rhynchoconger squaliceps","(Alcock, 1894)","dd"
"Ariosoma sazonovi","Karmovskaya, 2004","dd"
"Bascanichthys inopinatus","McCosker, Böhlke &amp; Böhlke, 1989","dd"
"Paraconger ophichthys","(Garman, 1899)","dd"
"Gorgasia cotroneii","(D'Ancona, 1928)","dd"
"Leptocephalus congroides","D'Ancona, 1928","dd"
"Heteroconger balteatus","Castle &amp; Randall, 1999","dd"
"Albula koreana","Kwun &amp; Kim, 2011","dd"
"Smilosicyopus pentecost","(Keith, Lord &amp; Taillebois, 2010)","dd"
"Ilisha obfuscata","Wongratana, 1983","dd"
"Pellona dayi","Wongratana, 1983","dd"
"Thryssa stenosoma","Wongratana, 1983","dd"
"Upeneus indicus","Uiblein &amp; Heemstra, 2010","dd"
"Acentrogobius ennorensis","Menon &amp; Rema Devi, 1980","dd"
"Callogobius seshaiyai","Jacob &amp; Rangarajan, 1960","dd"
"Awaous fluviatilis","(Rao, 1971)","dd"
"Oligolepis dasi","(Talwar, Chatterjee &amp; Dev Roy, 1982)","dd"
"Oxyurichthys paulae","Pezold, 1998","dd"
"Parapocryptes rictuosus","(Valenciennes, 1837)","dd"
"Silhouettea indica","Visweswara Rao, 1971","dd"
"Stigmatogobius minima","(Hora, 1923)","dd"
"Cynoglossus dubius","Day, 1873","dd"
"Zebrias annandalei","Talwar &amp; Chakrapany, 1967","dd"
"Zebrias keralensis","Joglekar, 1976","dd"
"Scyliorhinus haeckelii","(Miranda Ribeiro, 1907)","dd"
"Cirrhigaleus asper","(Merrett, 1973)","dd"
"Plecoglossus altivelis","(Temminck &amp; Schlegel, 1846)","dd"
"Eleotris sandwicensis","Vaillant &amp; Sauvage, 1875","dd"
"Lentipes concolor","(Gill, 1860)","dd"
"Luciogobius pallidus","Regan, 1940","dd"
"Coregonus widegreni","Malmgren, 1863","dd"
"Mordacia lapicida","(Gray, 1851)","dd"
"Foa madagascariensis","Petit, 1931","dd"
"Paraliparis plagiostomus","Stein, Chernova &amp; Andriashev, 2001","dd"
"Cnidoglanis macrocephalus","(Valenciennes, 1840)","dd"
"Callionymus leucobranchialis","Fowler, 1941","dd"
"Thalassenchelys foliaceus","Castle &amp; Raju, 1975","dd"
"Careproctus herwigi","Andriashev, 1991","dd"
"Thamnaconus melanoproctes","(Boulenger, 1889)","dd"
"Bathycongrus retrotinctus","(Jordan &amp; Snyder, 1901)","dd"
"Apogon semilineatus","Temminck &amp; Schlegel, 1842","dd"
"Coelorinchus velifer","Gilbert &amp; Hubbs, 1920","dd"
"Suezichthys bifurcatus","Russell, 1986","dd"
"Caulolatilus williamsi","Dooley &amp; Berry, 1977","dd"
"Bathypterois oddi","Sulak, 1977","dd"
"Cynoglossus maccullochi","Norman, 1926","dd"
"Oneirodes epithales","Orr, 1991","dd"
"Heteroconger taylori","Castle &amp; Randall, 1995","dd"
"Callionymus platycephalus","Fricke, 1983","dd"
"Astrabe fasciata","Akihito &amp; Meguro, 1988","dd"
"Chlopsis kazuko","Lavenberg, 1988","dd"
"Silhouettea evanida","Larson &amp; Miller, 1986","dd"
"Amblyeleotris callopareia","Polunin &amp; Lubbock, 1979","dd"
"Chaenopsis coheni","Böhlke, 1957","dd"
"Psednos andriashevi","Chernova, 2001","dd"
"Gymnapogon melanogaster","Gon &amp; Golani, 2002","dd"
"Cabillus macrophthalmus","(Weber, 1909)","dd"
"Bollmannia stigmatura","Gilbert, 1892","dd"
"Careproctus cactiformis","Andriashev, 1990","dd"
"Cirrhilabrus rhomboidalis","Randall, 1988","dd"
"Apodocreedia vanderhorsti","de Beaufort, 1948","dd"
"Bathymaster derjugini","Lindberg, 1930","dd"
"Synclidopus macleayanus","(Ramsay, 1881)","dd"
"Psednos harteli","Chernova, 2001","dd"
"Xenomystax trucidans","Alcock, 1894","dd"
"Coelorinchus aratrum","Gilbert, 1905","dd"
"Congrogadus winterbottomi","Gill, Mooi &amp; Hutchins, 2000","dd"
"Acreichthys hajam","(Bleeker, 1851)","dd"
"Thamnaconus fijiensis","Hutchins &amp; Matsuura, 1984","dd"
"Acanthistius brasilianus","(Cuvier, 1828)","dd"
"Plectranthias pallidus","Randall &amp; Hoese, 1995","dd"
"Congrogadus amplimaculatus","(Winterbottom, 1980)","dd"
"Coloconger japonicus","Machida, 1984","dd"
"Allomycterus pilatus","Whitley, 1931","dd"
"Careproctus minimus","Andriashev &amp; Stein, 1998","dd"
"Chromis flavicauda","(Günther, 1880)","dd"
"Callionymus whiteheadi","Fricke, 1981","dd"
"Careproctus mederi","Schmidt, 1916","dd"
"Halichoeres melas","Randall &amp; Earle, 1994","dd"
"Dactyloscopus zelotes","Jordan &amp; Gilbert, 1896","dd"
"Platycephalus indicus","(Linnaeus, 1758)","dd"
"Caulolatilus dooleyi","Berry, 1978","dd"
"Callionymus macclesfieldensis","Fricke, 1983","dd"
"Paramyxine wayuu","(Mok, Saavedra-Diaz &amp; Acero P., 2001)","dd"
"Prognatholiparis ptychomandibularis","Orr &amp; Busby, 2001","dd"
"Chirolophis snyderi","(Taranetz, 1938)","dd"
"Asarcenchelys longimanus","McCosker, 1985","dd"
"Sicydium plumieri","(Bloch, 1786)","dd"
"Centropogon latifrons","Mees, 1962","dd"
"Brachysomophis longipinnis","McCosker &amp; Randall, 2001","dd"
"Austroglossus microlepis","(Bleeker, 1863)","dd"
"Araiophos eastropas","Ahlstrom &amp; Moser, 1969","dd"
"Coelorinchus shcherbachevi","Iwamoto &amp; Merrett, 1997","dd"
"Antimora microlepis","Bean, 1890","dd"
"Careproctus pallidus","(Vaillant, 1888)","dd"
"Bathylaco macrophthalmus","Nielsen &amp; Larsen, 1968","dd"
"Serranus atricauda","Günther, 1874","dd"
"Cochlefelis insidiator","(Kailola, 2000)","dd"
"Prognathodes guezei","(Maugé &amp; Bauchot, 1976)","dd"
"Prognathodes guyotensis","(Yamamoto &amp; Tameka, 1982)","dd"
"Chaetodon ocellicaudus","Cuvier, 1831","dd"
"Chaetodon bennetti","Cuvier, 1831","dd"
"Chaetodon andamanensis","Kuiter &amp; Debelius, 1999","dd"
"Chaetodon reticulatus","Cuvier, 1831","dd"
"Amphichaetodon melbae","Burgess &amp; Caldwell, 1978","dd"
"Apolemichthys guezei","(Randall &amp; Maugé, 1978)","dd"
"Chaetodontoplus caeruleopunctatus","Yasuda &amp; Tominaga, 1976","dd"
"Conocara nigrum","(Günther, 1878)","dd"
"Ayarnangra estuarius","Roberts, 2001","dd"
"Gobiopterus chuno","(Hamilton, 1822)","dd"
"Bathygobius ostreicola","(Chaudhuri, 1916)","dd"
"Scomberomorus guttatus","(Bloch &amp; Schneider, 1801)","dd"
"Istiompax indica","(Cuvier, 1832)","dd"
"Tetrapturus angustirostris","Tanaka, 1915","dd"
"Rastrelliger brachysoma","(Bleeker, 1851)","dd"
"Rastrelliger faughni","Matsui, 1967","dd"
"Rastrelliger kanagurta","(Cuvier, 1816)","dd"
"Tetrapturus georgii","Lowe, 1841","dd"
"Scomberomorus sinensis","(Lacepède, 1800)","dd"
"Scomberomorus plurilineatus","Fourmanoir, 1966","dd"
"Thunnus tonggol","(Bleeker, 1851)","dd"
"Scomberomorus niphonius","(Cuvier, 1832)","dd"
"Cerdale paludicola","Dawson, 1974","dd"
"Cerdale prolata","Dawson, 1974","dd"
"Clarkichthys bilineatus","(Clark, 1936)","dd"
"Microdesmus affinis","Meek &amp; Hildebrand, 1928","dd"
"Microdesmus dipus","Günther, 1864","dd"
"Microdesmus dorsipunctatus","Dawson, 1968","dd"
"Microdesmus hildebrandi","Reid, 1936","dd"
"Microdesmus intermedius","Meek &amp; Hildebrand, 1928","dd"
"Microdesmus knappi","Dawson, 1972","dd"
"Microdesmus multiradiatus","Meek &amp; Hildebrand, 1928","dd"
"Microdesmus retropinnis","Jordan &amp; Gilbert, 1882","dd"
"Microdesmus suttkusi","Gilbert, 1966","dd"
"Sphyraena lucasana","Gill, 1863","dd"
"Cynoponticus coniceps","(Jordan &amp; Gilbert, 1882)","dd"
"Phthanophaneron harveyi","(Rosenblatt &amp; Montgomery, 1976)","dd"
"Bathygadus sulcatus","(Smith &amp; Radcliffe, 1912)","dd"
"Coelorinchus dorsalis","Gilbert &amp; Hubbs, 1920","dd"
"Coelorinchus macrolepis","Gilbert &amp; Hubbs, 1920","dd"
"Coelorinchus notatus","Smith &amp; Radcliffe, 1912","dd"
"Coelorinchus sexradiatus","Gilbert &amp; Hubbs, 1920","dd"
"Coelorinchus triocellatus","Gilbert &amp; Hubbs, 1920","dd"
"Coelorinchus weberi","Gilbert &amp; Hubbs, 1920","dd"
"Coryphaenoides camurus","(Smith &amp; Radcliffe, 1912","dd"
"Coryphaenoides dubius","(Smith &amp; Radcliffe, 1912","dd"
"Gadomus magnifilis","Gilbert &amp; Hubbs, 1920","dd"
"Plagiotremus iosodon","Smith-Vaniz, 1976","dd"
"Equulites laterofenestra","(Sparks &amp; Chakrabarty, 2007)","dd"
"Hypoatherina crenolepis","(Schultz, 1953)","dd"
"Sebastapistes taeniophrys","(Fowler, 1943)","dd"
"Sillago argentifasciata","Martin &amp; Montalban, 1935","dd"
"Tylochromis praecox","Stiassny, 1989","dd"
"Eleotris annobonensis","Blanc, Cadenat &amp; Stauch, 1968","dd"
"Gobionellus liolepis","(Meek &amp; Hildebrand, 1928)","dd"
"Aplatophis zorro","McCosker &amp; Robertson, 2001","dd"
"Tanyemblemaria alleni","Hastings, 1992","dd"
"Ilypnus luculentus","(Ginsburg, 1938)","dd"
"Lythrypnus cobalus","Bussing, 1990","dd"
"Gobiosoma nudum","(Meek &amp; Hildebrand, 1928)","dd"
"Cottoclinus canops","McCosker, Stephens &amp; Rosenblatt, 2003","dd"
"Paralabrax callaensis","Starks 1906","dd"
"Heteroconger canabus","(Cowan &amp; Rosenblatt, 1974)","dd"
"Gobiesox crassicorpus","(Briggs, 1951)","dd"
"Gordiichthys combibus","McCosker &amp; Lavenberg, 2001","dd"
"Labrisomus wigginsi","Hubbs, 1953","dd"
"Paraclinus altivelis","(Lockington, 1881)","dd"
"Semicossyphus darwini","(Jenyns, 1842)","dd"
"Uropterygius polystictus","Myers &amp; Wade, 1941","dd"
"Gobiesox marijeanae","Briggs, 1960","dd"
"Paralabrax loro","Walford 1936","dd"
"Xenichthys rupestris","Hildebrand, 1946","dd"
"Cathorops taylori","(Hildebrand, 1925)","dd"
"Bollmannia pawneea","Ginsburg, 1939","dd"
"Chriolepis minutillus","Gilbert, 1892","dd"
"Starksia posthon","Rosenblatt &amp; Taylor, 1971","dd"
"Gymnothorax eurygnathos","Böhlke, 2001","dd"
"Gobiesox milleri","Briggs, 1955","dd"
"Opistognathus walkeri","Bussing &amp; Lavenberg, 2003","dd"
"Batrachoides walkeri","Collette &amp; Russo, 1981","dd"
"Enypnias aceras","Ginsburg, 1939","dd"
"Lythrypnus rhizophora","(Heller &amp; Snodgrass, 1903)","dd"
"Notarius armbrusteri","Betancur-R. &amp; Acero P., 2006","dd"
"Aboma etheostoma","Jordan &amp; Starks, 1895","dd"
"Chriolepis tagus","Ginsburg, 1953","dd"
"Opistognathus brochus","Bussing &amp; Lavenberg, 2003","dd"
"Bollmannia marginalis","Ginsburg, 1939","dd"
"Atherinella nesiotes","(Myers &amp; Wade 1942)","dd"
"Bollmannia gomezi","Acero P., 1981","dd"
"Opistognathus smithvanizi","Bussing &amp; Lavenberg, 2003","dd"
"Cathorops steindachneri","(Gilbert &amp; Starks, 1904)","dd"
"Chaenopsis deltarrhis","Böhlke, 1957","dd"
"Gobiesox stenocephalus","Briggs, 1955","dd"
"Merluccius gayi","(Guichenot, 1848)","dd"
"Halichoeres aestuaricola","Bussing, 1972","dd"
"Orthopristis forbesi","Jordan &amp; Starks, 1897","dd"
