internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
183444,Pareques viola,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pareques,viola,,,,,"(Gilbert, 1898)",
49217539,Pseudotolithus elongatus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pseudotolithus,elongatus,,,,,"(Bowdich, 1825)",
49217590,Pseudotolithus epipercus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pseudotolithus,epipercus,,,,,"(Bleeker, 1863)",
49217654,Pseudotolithus moorii,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pseudotolithus,moorii,,,,,"(Günther, 1865)",
49218074,Pseudotolithus typus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pseudotolithus,typus,,,,,"Bleeker, 1863",
49218151,Pteroscion peli,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Pteroscion,peli,,,,,"(Bleeker, 1863)",
183830,Roncador stearnsii,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Roncador,stearnsii,,,,,"(Steindachner, 1876)",Original orthography is <i>stearnsii</i>.
183565,Sciaena deliciosa,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Sciaena,deliciosa,,,,,"(Tschudi, 1846)",
183750,Seriphus politus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Seriphus,politus,,,,,"Ayres, 1860",
183740,Stellifer chrysoleuca,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,chrysoleuca,,,,,"(Günther, 1867)",
183721,Stellifer ephelis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,ephelis,,,,,"Chirichigno F., 1974",
183501,Stellifer ericymba,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,ericymba,,,,,"(Jordan &amp; Gilbert, 1882)",
154662,Stellifer fuerthii,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,fuerthii,,,,,"(Steindachner, 1875)",
184019,Stellifer illecebrosus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,illecebrosus,,,,,"Gilbert, 1898",
183569,Stellifer mancorensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,mancorensis,,,,,"Chirichigno F., 1962",
183562,Stellifer melanocheir,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,melanocheir,,,,,"Eigenmann, 1918",
183271,Stellifer minor,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,minor,,,,,"(Tschudi, 1846)",
183911,Stellifer oscitans,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,oscitans,,,,,"(Jordan &amp; Gilbert, 1882)",
183974,Stellifer pizarroensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,pizarroensis,,,,,"Hildebrand, 1946",
183592,Stellifer zestocarus,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Stellifer,zestocarus,,,,,"Gilbert, 1898",
