internalTaxonId,scientificName,kingdomName,phylumName,className,orderName,familyName,genusName,speciesName,infraType,infraName,infraAuthority,subpopulationName,authority,taxonomicNotes
154864,Sciaena callaensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SCIAENIDAE,Sciaena,callaensis,,,,,"Hildebrand, 1946",
161558,Squatina japonica,ANIMALIA,CHORDATA,CHONDRICHTHYES,SQUATINIFORMES,SQUATINIDAE,Squatina,japonica,,,,,"Bleeker, 1858",This species is often misidentified with other regional Squatinids. Diagnostic features for <em>Squatina japonica</em> include pelvic fin tips which do not reach the first dorsal origin and spines along the midback line (Walsh <em>et al.</em> 2011).
141363430,Hypoplectrus liberte,ANIMALIA,CHORDATA,ACTINOPTERYGII,PERCIFORMES,SERRANIDAE,Hypoplectrus,liberte,,,,,"Victor &amp; Marks, 2018","<span id=""docs-internal-guid-f8c3acfb-7fff-6750-5e4b-8ff424d992d4"">There is ongoing discussion amongst workers since some hamlet species have been known to produce hybrids (Victor and Marks 2018).</span>"
18584848,Pristis pristis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,PRISTIDAE,Pristis,pristis,,,,,"(Linnaeus, 1758)","In a recent study, Faria <em>et al</em>. (2013) demonstrated that the existing taxonomy of the Pristidae required modification, recognising a total of five species in two genera. <em>Pristis pristis </em>had been recognised previously as consisting of up to three species (<em>Pristis pristis</em>, <em>P. microdon </em>and <em>P. perotteti</em>), but utilising a combination of mitochondrial DNA and morphological characters appears to be one species. While the <em>P. pristis </em>group is best considered a single species, it can be composed of a network of geographical units (subpopulations) that are not genetically distinct, but may be considered ecologically different.<br/>&#160;<br/><em>Pristis pristis</em>, has been referred to by many other names throughout its range. It was formerly known as <em>P. perotteti </em>in the Atlantic and sometimes in the Eastern Pacific, and <em>P. microdon </em>in the Indo-West Pacific."
18175,Pristis pectinata,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,PRISTIDAE,Pristis,pectinata,,,,,"Latham, 1794","Faria <span style=""font-style: italic;"">et al.</span> (2013) state that both morphology and genetics support the current specific status of the Smalltooth Sawfish (<em>Pristis pectinata</em>) and propose modification of the distribution of the species to an Atlantic only range. No geographical structure of Smalltooth Sawfish subpopulations is present, and Western and Eastern Atlantic subpopulations of Smalltooth Sawfish likely represent separate units for conservation purposes."
39393,Pristis zijsron,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,PRISTIDAE,Pristis,zijsron,,,,,"Bleeker, 1851","Recent taxonomic work has confirmed that the Green Sawfish (<em>Pristis zijsron</em>) is a valid species with an Indo-West Pacific distribution (Faria <span style=""font-style: italic;"">et al.</span> 2013)."
144137478,Carcharhinus cerdale,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,CARCHARHINIDAE,Carcharhinus,cerdale,,,,,"Gilbert, 1898","Castro (2011) resurrected <em>Carcharhinus cerdale</em>, considering it distinct from <em>Carcharhinus porosus</em>.&#160;<em>Carcharhinus cerdale&#160;</em>is restricted to the Eastern Pacific and <em>C. porosus</em> to the Western Atlantic."
60181,Rhynchobatus cooki,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,RHINIDAE,Rhynchobatus,cooki,,,,,"Last, Kyne &amp; Compagno, 2016",The Clown Wedgefish is a recently described small species of wedgefish (Last <em>et al.</em> 2016). It is a distinct species which is not likely to be confused with other <em>Rhynchobatus</em> species.
44575,Atlantoraja castelnaui,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,ARHYNCHOBATIDAE,Atlantoraja,castelnaui,,,,,"(Miranda Ribeiro, 1907)",
60344,Anguilla anguilla,ANIMALIA,CHORDATA,ACTINOPTERYGII,ANGUILLIFORMES,ANGUILLIDAE,Anguilla,anguilla,,,,,"(Linnaeus, 1758)","<p>Other <em>Anguilla</em> species have occasionally been stocked in Europe, but none have established a self-sustaining population. Pure <em>A. rostrata</em>&#160;(American Eel) have been recorded but are relatively rare (Boëtius 1976). Stocking attempts are likely to have caused this (Frankowski <em>et al</em>. 2008, Marohn <em>et al</em>. 2014). DNA analysis is the best tool to distinguish between the European Eel and other species (e.g. Frankowski <em>et al</em>. 2008), but <em>A. rostrata</em> have fewer vertebrae than <em>A. anguilla</em> (102–112, usually 106–108, vs. 111–119, usually 114–116). Hybrids have been found as larvae in the Sargasso Sea (Als <em>et al</em>. 2011, Pujolar <em>et al.</em> 2014<em>a</em>) and as yellow eels in Iceland where pure <em>A.&#160;rostrata</em> and <em>A.&#160;anguilla</em>&#160;also exist (Albert <em>et al</em>. 2006).</p>"
162160049,Clupea manulensis,ANIMALIA,CHORDATA,ACTINOPTERYGII,CLUPEIFORMES,CLUPEIDAE,Clupea,manulensis,,,,,"Marion de Procé, 1822",
162207827,Cephaloscyllium fasciatum,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,SCYLIORHINIDAE,Cephaloscyllium,fasciatum,,,,,"Chan, 1966",
107605000,Maculabatis bineeshi,ANIMALIA,CHORDATA,CHONDRICHTHYES,MYLIOBATIFORMES,DASYATIDAE,Maculabatis,bineeshi,,,,,"Manjaji-Matsumoto &amp; Last, 2016",Previously confused with the Whitespotted Whipray (<em>Maculabatis gerrardi</em>) from which it can be distinguished based on colour and morphometrics (Manjaji-Matsumoto and Last 2016).
224,Acipenser naccarii,ANIMALIA,CHORDATA,ACTINOPTERYGII,ACIPENSERIFORMES,ACIPENSERIDAE,Acipenser,naccarii,,,,,"Bonaparte, 1836",There are nuclear and mitochondrial genetic markers available for the identification of this species and its hybrids.
203364219,Dipturus batis,ANIMALIA,CHORDATA,CHONDRICHTHYES,RAJIFORMES,RAJIDAE,Dipturus,batis,,,,,"(Linnaeus, 1758)","The Common Blue Skate <em>(Dipturus batis</em>)<em> </em>and Flapper Skate (<em>Dipturus intermedius</em>)<em> </em>were  synonymised in a taxonomic revision of European skates (Rajidae) in the  1920s (Clark 1926), before being recognised again as separate species  in 2010 (Iglésias <em>et al</em>. 2010). Consequently, information for both species were reported as ‘<em>Dipturus batis’</em> <a name=""_Hlk66779364"">(the 'common skate complex') </a>for much of the 20<sup>th</sup> and early 21<sup>st</sup> centuries."
63128,Mustelus mento,ANIMALIA,CHORDATA,CHONDRICHTHYES,CARCHARHINIFORMES,TRIAKIDAE,Mustelus,mento,,,,,"Cope, 1877",Records of this species off Argentina refer to&#160;<em>Mustelus schmitti</em>.
60170,Glaucostegus obtusus,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,GLAUCOSTEGIDAE,Glaucostegus,obtusus,,,,,"(Müller &amp; Henle, 1841)","Recent changes to the systematics of <em>Rhinobatos</em>&#160;have elevated the subgenus <em>Glaucostegus</em> to full generic status and placed this genus into a family of its own: Glaucostegidae (Compagno 2005, Last <em>et al</em>. 2016a). Reports of <em>G. obtusus</em> from South Africa are considered invalid and based on other species (Compagno and Last 1999)."
60175,Glaucostegus thouin,ANIMALIA,CHORDATA,CHONDRICHTHYES,RHINOPRISTIFORMES,GLAUCOSTEGIDAE,Glaucostegus,thouin,,,,,"(Anonymous [Lacepède], 1798)","Recent changes to the systematics of <em>Rhinobatos</em> have elevated the subgenus <em>Glaucostegus</em> to full generic status and placed this genus into a family of its own: Glaucostegidae (Compagno 2005, Last <em>et al</em>. 2016a)."
