"","db","query","genus","family","order","class"
"1","ncbi","Lagocephalus gloveri","Lagocephalus","Tetraodontidae","Tetraodontiformes","Actinopteri"
"2","ncbi","Parioglossus neocaledonicus",NA,NA,NA,NA
"3","ncbi","Pegasus laternarius","Pegasus","Pegasidae","Syngnathiformes","Actinopteri"
"4","ncbi","Salanx chinensis","Salanx","Salangidae","Osmeriformes","Actinopteri"
"5","ncbi","Salanx cuvieri","Salanx","Salangidae","Osmeriformes","Actinopteri"
"6","ncbi","Otolithoides pama","Pama","Sciaenidae",NA,"Actinopteri"
"7","ncbi","Macrospinosa cuja","Macrospinosa","Sciaenidae",NA,"Actinopteri"
"8","ncbi","Cryptocentrus pavoninoides","Cryptocentrus","Gobiidae","Gobiiformes","Actinopteri"
"9","ncbi","Psettodes erumei","Psettodes","Psettodidae","Pleuronectiformes","Actinopteri"
"10","ncbi","Oxyurichthys tentacularis","Oxyurichthys","Gobiidae","Gobiiformes","Actinopteri"
"11","ncbi","Boops lineatus",NA,NA,NA,NA
"12","ncbi","Calamus campechanus",NA,NA,NA,NA
"13","ncbi","Polysteganus coeruleopunctatus","Polysteganus","Sparidae","Spariformes","Actinopteri"
"14","ncbi","Argyrops megalommatus","Argyrops","Sparidae","Spariformes","Actinopteri"
"15","ncbi","Cheimerius nufar","Cheimerius","Sparidae","Spariformes","Actinopteri"
"16","ncbi","Dentex fourmanoiri","Dentex","Sparidae","Spariformes","Actinopteri"
"17","ncbi","Acanthopagrus omanensis",NA,NA,NA,NA
"18","ncbi","Acanthopagrus akazakii",NA,NA,NA,NA
"19","ncbi","Acanthopagrus taiwanensis","Acanthopagrus","Sparidae","Spariformes","Actinopteri"
"20","ncbi","Sparidentex belayewi",NA,NA,NA,NA
"21","ncbi","Lithognathus olivieri",NA,NA,NA,NA
"22","ncbi","Acanthopagrus latus","Acanthopagrus","Sparidae","Spariformes","Actinopteri"
"23","ncbi","Spicara martinicus",NA,NA,NA,NA
"24","ncbi","Prionurus scalprum","Prionurus","Acanthuridae","Acanthuriformes","Actinopteri"
"25","ncbi","Naso reticulatus","Naso","Acanthuridae","Acanthuriformes","Actinopteri"
"26","ncbi","Prionurus chrysurus","Prionurus","Acanthuridae","Acanthuriformes","Actinopteri"
"27","ncbi","Zebrasoma gemmatum","Zebrasoma","Acanthuridae","Acanthuriformes","Actinopteri"
"28","ncbi","Acanthurus polyzona","Acanthurus","Acanthuridae","Acanthuriformes","Actinopteri"
"29","ncbi","Zebrasoma rostratum","Zebrasoma","Acanthuridae","Acanthuriformes","Actinopteri"
"30","ncbi","Naso tuberosus","Naso","Acanthuridae","Acanthuriformes","Actinopteri"
"31","ncbi","Myxodes ornatus",NA,NA,NA,NA
"32","ncbi","Ophiclinops pardalis","Ophiclinops","Clinidae","Blenniiformes","Actinopteri"
"33","ncbi","Enneapterygius sheni",NA,NA,NA,NA
"34","ncbi","Helcogramma solorensis",NA,NA,NA,NA
"35","ncbi","Helcogramma larvata",NA,NA,NA,NA
"36","ncbi","Helcogramma maldivensis","Helcogramma","Tripterygiidae","Blenniiformes","Actinopteri"
"37","ncbi","Helcogrammoides antarcticus",NA,NA,NA,NA
"38","ncbi","Neopomacentrus taeniurus","Neopomacentrus","Pomacentridae",NA,"Actinopteri"
"39","ncbi","Neosalanx brevirostris","Neosalanx","Salangidae","Osmeriformes","Actinopteri"
"40","ncbi","Cathorops fuerthii","Cathorops","Ariidae","Siluriformes","Actinopteri"
"41","ncbi","Hyporhamphus rosae",NA,NA,NA,NA
"42","ncbi","Spaniblennius riodourensis",NA,NA,NA,NA
"43","ncbi","Parablennius verryckeni",NA,NA,NA,NA
"44","ncbi","Spaniblennius clandestinus",NA,NA,NA,NA
"45","ncbi","Bathyblennius antholops",NA,NA,NA,NA
"46","ncbi","Malacoctenus africanus",NA,NA,NA,NA
"47","ncbi","Microlipophrys bauchotae","Microlipophrys","Blenniidae","Blenniiformes","Actinopteri"
"48","ncbi","Astrapogon stellatus","Astrapogon","Apogonidae","Kurtiformes","Actinopteri"
"49","ncbi","Derilissus vittiger",NA,NA,NA,NA
"50","ncbi","Derilissus kremnobates",NA,NA,NA,NA
"51","ncbi","Robinsichthys arrowsmithensis",NA,NA,NA,NA
"52","ncbi","Varicus marilynae",NA,NA,NA,NA
"53","ncbi","Vomerogobius flavus",NA,NA,NA,NA
"54","ncbi","Evermannichthys bicolor",NA,NA,NA,NA
"55","ncbi","Evermannichthys silus",NA,NA,NA,NA
"56","ncbi","Evermannichthys convictor",NA,NA,NA,NA
"57","ncbi","Chriolepis benthonis",NA,NA,NA,NA
"58","ncbi","Coryphopterus kuna","Coryphopterus","Gobiidae","Gobiiformes","Actinopteri"
"59","ncbi","Gobioides grahamae",NA,NA,NA,NA
"60","ncbi","Lipogramma flavescens",NA,NA,NA,NA
"61","ncbi","Tomicodon clarkei",NA,NA,NA,NA
"62","ncbi","Tomicodon lavettsmithi","Tomicodon","Gobiesocidae","Blenniiformes","Actinopteri"
"63","ncbi","Abudefduf margariteus","Abudefduf","Pomacentridae",NA,"Actinopteri"
"64","ncbi","Stegastes otophorus",NA,NA,NA,NA
"65","ncbi","Clinus ornatus",NA,NA,NA,NA
"66","ncbi","Lutjanus buccanella","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"67","ncbi","Haemulon album","Haemulon","Haemulidae","Lutjaniformes","Actinopteri"
"68","ncbi","Callechelys springeri",NA,NA,NA,NA
"69","ncbi","Lutjanus jocu","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"70","ncbi","Catesbya pseudomuraena",NA,NA,NA,NA
"71","ncbi","Genyatremus cavifrons","Genyatremus","Haemulidae","Lutjaniformes","Actinopteri"
"72","ncbi","Albula nemoptera","Albula","Albulidae","Albuliformes","Actinopteri"
"73","ncbi","Akko dionaea",NA,NA,NA,NA
"74","ncbi","Membras vagrans",NA,NA,NA,NA
"75","ncbi","Gobiomorus polylepis","Gobiomorus","Eleotridae","Gobiiformes","Actinopteri"
"76","ncbi","Eviota nigriventris","Eviota","Gobiidae","Gobiiformes","Actinopteri"
"77","ncbi","Eviota pseudostigma",NA,NA,NA,NA
"78","ncbi","Eviota herrei","Eviota","Gobiidae","Gobiiformes","Actinopteri"
"79","ncbi","Gobiodon spilophthalmus","Gobiodon","Gobiidae","Gobiiformes","Actinopteri"
"80","ncbi","Lotilia graciliosa","Lotilia","Gobiidae","Gobiiformes","Actinopteri"
"81","ncbi","Stiphodon percnopterygionus","Stiphodon","Gobiidae","Gobiiformes","Actinopteri"
"82","ncbi","Chelonodon dapsilis",NA,NA,NA,NA
"83","ncbi","Canthigaster flavoreticulata",NA,NA,NA,NA
"84","ncbi","Arothron carduus","Arothron","Tetraodontidae","Tetraodontiformes","Actinopteri"
"85","ncbi","Sphoeroides andersonianus",NA,NA,NA,NA
"86","ncbi","Sphoeroides georgemilleri",NA,NA,NA,NA
"87","ncbi","Takifugu variomaculatus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"88","ncbi","Torquigener randalli",NA,NA,NA,NA
"89","ncbi","Torquigener marleyi",NA,NA,NA,NA
"90","ncbi","Canthigaster investigatoris",NA,NA,NA,NA
"91","ncbi","Tetraodon implutus",NA,NA,NA,NA
"92","ncbi","Torquigener hicksi","Torquigener","Tetraodontidae","Tetraodontiformes","Actinopteri"
"93","ncbi","Lagocephalus cheesemanii","Lagocephalus","Tetraodontidae","Tetraodontiformes","Actinopteri"
"94","ncbi","Sphoeroides nitidus",NA,NA,NA,NA
"95","ncbi","Arothron leopardus","Arothron","Tetraodontidae","Tetraodontiformes","Actinopteri"
"96","ncbi","Acanthostracion notacanthus",NA,NA,NA,NA
"97","ncbi","Canthigaster punctata",NA,NA,NA,NA
"98","ncbi","Takifugu basilevskianus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"99","ncbi","Takifugu pseudommus","Takifugu","Tetraodontidae","Tetraodontiformes","Actinopteri"
"100","ncbi","Emblemariopsis arawak","Emblemariopsis","Chaenopsidae","Blenniiformes","Actinopteri"
"101","ncbi","Albula argentea","Albula","Albulidae","Albuliformes","Actinopteri"
"102","ncbi","Albula oligolepis","Albula","Albulidae","Albuliformes","Actinopteri"
"103","ncbi","Albula virgata","Albula","Albulidae","Albuliformes","Actinopteri"
"104","ncbi","Pterothrissus gissu","Pterothrissus","Albulidae","Albuliformes","Actinopteri"
"105","ncbi","Elops hawaiensis","Elops","Elopidae","Elopiformes","Actinopteri"
"106","ncbi","Elops smithi","Elops","Elopidae","Elopiformes","Actinopteri"
"107","ncbi","Lutjanus agennes","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"108","ncbi","Paracaesio waltervadi",NA,NA,NA,NA
"109","ncbi","Ocyurus chrysurus","Ocyurus","Lutjanidae","Lutjaniformes","Actinopteri"
"110","ncbi","Lutjanus goreensis","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"111","ncbi","Lutjanus endecacanthus",NA,NA,NA,NA
"112","ncbi","Lutjanus dentatus","Lutjanus","Lutjanidae","Lutjaniformes","Actinopteri"
"113","ncbi","Paracaesio paragrapsimodon",NA,NA,NA,NA
"114","ncbi","Anisotremus surinamensis","Anisotremus","Haemulidae","Lutjaniformes","Actinopteri"
"115","ncbi","Parakuhlia macrophthalmus",NA,NA,NA,NA
"116","ncbi","Plectorhinchus chubbi","Plectorhinchus","Haemulidae","Lutjaniformes","Actinopteri"
"117","ncbi","Plectorhinchus mediterraneus","Plectorhinchus","Haemulidae","Lutjaniformes","Actinopteri"
"118","ncbi","Salilota australis","Salilota","Moridae","Gadiformes","Actinopteri"
"119","ncbi","Patagonotothen ramsayi","Patagonotothen","Nototheniidae","Perciformes","Actinopteri"
"120","ncbi","Bathygobius geminatus","Bathygobius","Gobiidae","Gobiiformes","Actinopteri"
"121","ncbi","Chlopsis dentatus","Chlopsis","Chlopsidae","Anguilliformes","Actinopteri"
"122","ncbi","Anarchias supremus",NA,NA,NA,NA
"123","ncbi","Diaphenchelys pelonates",NA,NA,NA,NA
"124","ncbi","Enchelycore nycturanus",NA,NA,NA,NA
"125","ncbi","Gymnothorax austrinus",NA,NA,NA,NA
"126","ncbi","Gymnothorax bacalladoi","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"127","ncbi","Gymnothorax hansi",NA,NA,NA,NA
"128","ncbi","Gymnothorax polyspondylus",NA,NA,NA,NA
"129","ncbi","Gymnothorax prolatus","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"130","ncbi","Gymnothorax randalli","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"131","ncbi","Gymnothorax sagmacephalus","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"132","ncbi","Gymnothorax shaoi","Gymnothorax","Muraenidae","Anguilliformes","Actinopteri"
"133","ncbi","Gymnothorax sokotrensis",NA,NA,NA,NA
"134","ncbi","Gymnothorax vagrans",NA,NA,NA,NA
"135","ncbi","Uropterygius genie",NA,NA,NA,NA
"136","ncbi","Uropterygius golanii",NA,NA,NA,NA
"137","ncbi","Myroconger compressus","Myroconger","Myrocongridae","Anguilliformes","Actinopteri"
"138","ncbi","Derilissus nanus",NA,NA,NA,NA
"139","ncbi","Gramma dejongi","Gramma","Grammatidae",NA,"Actinopteri"
"140","ncbi","Parioglossus lineatus",NA,NA,NA,NA
"141","ncbi","Sicyopterus macrostetholepis",NA,NA,NA,NA
"142","ncbi","Taenioides cirratus","Taenioides","Gobiidae","Gobiiformes","Actinopteri"
"143","ncbi","Kuhlia munda","Kuhlia","Kuhliidae","Centrarchiformes","Actinopteri"
"144","ncbi","Rhyacichthys guilberti","Rhyacichthys","Rhyacichthyidae","Gobiiformes","Actinopteri"
"145","ncbi","Oneirodes bradburyae","Oneirodes","Oneirodidae","Lophiiformes","Actinopteri"
"146","ncbi","Parasaccogaster rhamphidognatha",NA,NA,NA,NA
"147","ncbi","Eustomias leptobolus",NA,NA,NA,NA
"148","ncbi","Sciades passany","Sciades","Ariidae","Siluriformes","Actinopteri"
"149","ncbi","Rhombosolea retiaria","Rhombosolea","Rhombosoleidae","Pleuronectiformes","Actinopteri"
"150","ncbi","Ariosoma anago","Ariosoma","Congridae","Anguilliformes","Actinopteri"
"151","ncbi","Ophichthus leonensis",NA,NA,NA,NA
"152","ncbi","Heteroconger tricia",NA,NA,NA,NA
"153","ncbi","Promyllantor atlanticus",NA,NA,NA,NA
"154","ncbi","Ichthyapus insularis",NA,NA,NA,NA
"155","ncbi","Ariosoma obud",NA,NA,NA,NA
"156","ncbi","Gorgasia sillneri",NA,NA,NA,NA
"157","ncbi","Gorgasia inferomaculata",NA,NA,NA,NA
"158","ncbi","Ariosoma bauchotae",NA,NA,NA,NA
"159","ncbi","Hemerorhinus opici",NA,NA,NA,NA
"160","ncbi","Ariosoma multivertebratum",NA,NA,NA,NA
"161","ncbi","Heteroconger tomberua",NA,NA,NA,NA
"162","ncbi","Xyrias guineensis",NA,NA,NA,NA
"163","ncbi","Ariosoma ophidiophthalmus",NA,NA,NA,NA
"164","ncbi","Ariosoma anagoides",NA,NA,NA,NA
"165","ncbi","Dalophis obtusirostris",NA,NA,NA,NA
"166","ncbi","Ariosoma nigrimanum",NA,NA,NA,NA
"167","ncbi","Heteroconger chapmani",NA,NA,NA,NA
"168","ncbi","Herpetoichthys regius",NA,NA,NA,NA
"169","ncbi","Gnathophis xenica",NA,NA,NA,NA
"170","ncbi","Acromycter longipectoralis",NA,NA,NA,NA
"171","ncbi","Gnathophis heterolinea",NA,NA,NA,NA
"172","ncbi","Kenyaconger heemstrai",NA,NA,NA,NA
"173","ncbi","Dalophis multidentatus",NA,NA,NA,NA
"174","ncbi","Castleichthys auritus",NA,NA,NA,NA
"175","ncbi","Apterichtus gracilis",NA,NA,NA,NA
"176","ncbi","Conger philippinus",NA,NA,NA,NA
"177","ncbi","Histiobranchus bathybius","Histiobranchus","Synaphobranchidae","Anguilliformes","Actinopteri"
"178","ncbi","Gordiichthys ergodes",NA,NA,NA,NA
"179","ncbi","Bathycongrus bleekeri","Bathycongrus","Congridae","Anguilliformes","Actinopteri"
"180","ncbi","Ariosoma mellissii",NA,NA,NA,NA
"181","ncbi","Ariosoma megalops","Ariosoma","Congridae","Anguilliformes","Actinopteri"
"182","ncbi","Bathycongrus trilineatus",NA,NA,NA,NA
"183","ncbi","Rhynchoconger squaliceps",NA,NA,NA,NA
"184","ncbi","Ariosoma sazonovi",NA,NA,NA,NA
"185","ncbi","Bascanichthys inopinatus",NA,NA,NA,NA
"186","ncbi","Paraconger ophichthys",NA,NA,NA,NA
"187","ncbi","Gorgasia cotroneii",NA,NA,NA,NA
"188","ncbi","Heteroconger balteatus",NA,NA,NA,NA
"189","ncbi","Albula koreana","Albula","Albulidae","Albuliformes","Actinopteri"
"190","ncbi","Ilisha obfuscata",NA,NA,NA,NA
"191","ncbi","Pellona dayi",NA,NA,NA,NA
"192","ncbi","Upeneus indicus",NA,NA,NA,NA
"193","ncbi","Acentrogobius ennorensis",NA,NA,NA,NA
"194","ncbi","Awaous fluviatilis",NA,NA,NA,NA
"195","ncbi","Oligolepis dasi",NA,NA,NA,NA
"196","ncbi","Oxyurichthys paulae",NA,NA,NA,NA
"197","ncbi","Parapocryptes rictuosus",NA,NA,NA,NA
"198","ncbi","Silhouettea indica",NA,NA,NA,NA
"199","ncbi","Cynoglossus dubius","Cynoglossus","Cynoglossidae","Pleuronectiformes","Actinopteri"
"200","ncbi","Zebrias annandalei",NA,NA,NA,NA
"201","ncbi","Zebrias keralensis",NA,NA,NA,NA
"202","ncbi","Scyliorhinus haeckelii",NA,NA,NA,NA
"203","ncbi","Cirrhigaleus asper","Cirrhigaleus","Squalidae","Squaliformes","Chondrichthyes"
"204","ncbi","Plecoglossus altivelis","Plecoglossus","Plecoglossidae","Osmeriformes","Actinopteri"
"205","ncbi","Eleotris sandwicensis","Eleotris","Eleotridae","Gobiiformes","Actinopteri"
"206","ncbi","Lentipes concolor","Lentipes","Gobiidae","Gobiiformes","Actinopteri"
"207","ncbi","Luciogobius pallidus","Luciogobius","Gobiidae","Gobiiformes","Actinopteri"
"208","ncbi","Mordacia lapicida","Mordacia","Petromyzontidae","Petromyzontiformes","Hyperoartia"
"209","ncbi","Foa madagascariensis",NA,NA,NA,NA
"210","ncbi","Paraliparis plagiostomus",NA,NA,NA,NA
"211","ncbi","Cnidoglanis macrocephalus","Cnidoglanis","Plotosidae","Siluriformes","Actinopteri"
"212","ncbi","Callionymus leucobranchialis",NA,NA,NA,NA
"213","ncbi","Thamnaconus melanoproctes",NA,NA,NA,NA
"214","ncbi","Bathycongrus retrotinctus","Bathycongrus","Congridae","Anguilliformes","Actinopteri"
"215","ncbi","Apogon semilineatus","Apogon","Apogonidae","Kurtiformes","Actinopteri"
"216","ncbi","Coelorinchus velifer",NA,NA,NA,NA
"217","ncbi","Suezichthys bifurcatus",NA,NA,NA,NA
"218","ncbi","Caulolatilus williamsi",NA,NA,NA,NA
"219","ncbi","Bathypterois oddi",NA,NA,NA,NA
"220","ncbi","Cynoglossus maccullochi","Cynoglossus","Cynoglossidae","Pleuronectiformes","Actinopteri"
"221","ncbi","Oneirodes epithales",NA,NA,NA,NA
"222","ncbi","Heteroconger taylori",NA,NA,NA,NA
"223","ncbi","Callionymus platycephalus",NA,NA,NA,NA
"224","ncbi","Astrabe fasciata",NA,NA,NA,NA
"225","ncbi","Chlopsis kazuko",NA,NA,NA,NA
"226","ncbi","Silhouettea evanida",NA,NA,NA,NA
"227","ncbi","Amblyeleotris callopareia",NA,NA,NA,NA
"228","ncbi","Chaenopsis coheni",NA,NA,NA,NA
"229","ncbi","Psednos andriashevi",NA,NA,NA,NA
"230","ncbi","Gymnapogon melanogaster",NA,NA,NA,NA
"231","ncbi","Cabillus macrophthalmus",NA,NA,NA,NA
"232","ncbi","Bollmannia stigmatura",NA,NA,NA,NA
"233","ncbi","Careproctus cactiformis",NA,NA,NA,NA
"234","ncbi","Cirrhilabrus rhomboidalis",NA,NA,NA,NA
"235","ncbi","Apodocreedia vanderhorsti",NA,NA,NA,NA
"236","ncbi","Bathymaster derjugini","Bathymaster","Bathymasteridae","Perciformes","Actinopteri"
"237","ncbi","Synclidopus macleayanus","Synclidopus","Soleidae","Pleuronectiformes","Actinopteri"
"238","ncbi","Psednos harteli",NA,NA,NA,NA
"239","ncbi","Xenomystax trucidans",NA,NA,NA,NA
"240","ncbi","Coelorinchus aratrum",NA,NA,NA,NA
"241","ncbi","Congrogadus winterbottomi",NA,NA,NA,NA
"242","ncbi","Acreichthys hajam","Acreichthys","Monacanthidae","Tetraodontiformes","Actinopteri"
"243","ncbi","Thamnaconus fijiensis",NA,NA,NA,NA
"244","ncbi","Acanthistius brasilianus","Acanthistius","Serranidae","Perciformes","Actinopteri"
"245","ncbi","Plectranthias pallidus",NA,NA,NA,NA
"246","ncbi","Congrogadus amplimaculatus",NA,NA,NA,NA
"247","ncbi","Coloconger japonicus",NA,NA,NA,NA
"248","ncbi","Allomycterus pilatus","Allomycterus","Diodontidae","Tetraodontiformes","Actinopteri"
"249","ncbi","Careproctus minimus",NA,NA,NA,NA
"250","ncbi","Chromis flavicauda",NA,NA,NA,NA
"251","ncbi","Callionymus whiteheadi",NA,NA,NA,NA
"252","ncbi","Careproctus mederi","Careproctus","Liparidae","Perciformes","Actinopteri"
"253","ncbi","Halichoeres melas",NA,NA,NA,NA
"254","ncbi","Dactyloscopus zelotes",NA,NA,NA,NA
"255","ncbi","Platycephalus indicus","Platycephalus","Platycephalidae","Perciformes","Actinopteri"
"256","ncbi","Caulolatilus dooleyi",NA,NA,NA,NA
"257","ncbi","Callionymus macclesfieldensis",NA,NA,NA,NA
"258","ncbi","Prognatholiparis ptychomandibularis","Prognatholiparis","Liparidae","Perciformes","Actinopteri"
"259","ncbi","Chirolophis snyderi",NA,NA,NA,NA
"260","ncbi","Asarcenchelys longimanus",NA,NA,NA,NA
"261","ncbi","Centropogon latifrons",NA,NA,NA,NA
"262","ncbi","Brachysomophis longipinnis",NA,NA,NA,NA
"263","ncbi","Austroglossus microlepis","Austroglossus","Soleidae","Pleuronectiformes","Actinopteri"
"264","ncbi","Araiophos eastropas",NA,NA,NA,NA
"265","ncbi","Coelorinchus shcherbachevi",NA,NA,NA,NA
"266","ncbi","Antimora microlepis","Antimora","Moridae","Gadiformes","Actinopteri"
"267","ncbi","Careproctus pallidus",NA,NA,NA,NA
"268","ncbi","Bathylaco macrophthalmus",NA,NA,NA,NA
"269","ncbi","Serranus atricauda","Serranus","Serranidae","Perciformes","Actinopteri"
"270","ncbi","Cochlefelis insidiator",NA,NA,NA,NA
"271","ncbi","Prognathodes guezei",NA,NA,NA,NA
"272","ncbi","Prognathodes guyotensis",NA,NA,NA,NA
"273","ncbi","Chaetodon ocellicaudus","Chaetodon","Chaetodontidae","Chaetodontiformes","Actinopteri"
"274","ncbi","Chaetodon bennetti","Chaetodon","Chaetodontidae","Chaetodontiformes","Actinopteri"
"275","ncbi","Chaetodon andamanensis",NA,NA,NA,NA
"276","ncbi","Chaetodon reticulatus","Chaetodon","Chaetodontidae","Chaetodontiformes","Actinopteri"
"277","ncbi","Amphichaetodon melbae","Amphichaetodon","Chaetodontidae","Chaetodontiformes","Actinopteri"
"278","ncbi","Apolemichthys guezei",NA,NA,NA,NA
"279","ncbi","Chaetodontoplus caeruleopunctatus","Chaetodontoplus","Pomacanthidae",NA,"Actinopteri"
"280","ncbi","Conocara nigrum","Conocara","Alepocephalidae","Alepocephaliformes","Actinopteri"
"281","ncbi","Bathygobius ostreicola",NA,NA,NA,NA
"282","ncbi","Scomberomorus guttatus","Scomberomorus","Scombridae","Scombriformes","Actinopteri"
"283","ncbi","Istiompax indica","Istiompax","Istiophoridae","Istiophoriformes","Actinopteri"
"284","ncbi","Tetrapturus angustirostris","Tetrapturus","Istiophoridae","Istiophoriformes","Actinopteri"
"285","ncbi","Rastrelliger brachysoma","Rastrelliger","Scombridae","Scombriformes","Actinopteri"
"286","ncbi","Rastrelliger faughni","Rastrelliger","Scombridae","Scombriformes","Actinopteri"
"287","ncbi","Rastrelliger kanagurta","Rastrelliger","Scombridae","Scombriformes","Actinopteri"
"288","ncbi","Tetrapturus georgii","Tetrapturus","Istiophoridae","Istiophoriformes","Actinopteri"
"289","ncbi","Scomberomorus sinensis","Scomberomorus","Scombridae","Scombriformes","Actinopteri"
"290","ncbi","Scomberomorus plurilineatus","Scomberomorus","Scombridae","Scombriformes","Actinopteri"
"291","ncbi","Thunnus tonggol","Thunnus","Scombridae","Scombriformes","Actinopteri"
"292","ncbi","Scomberomorus niphonius","Scomberomorus","Scombridae","Scombriformes","Actinopteri"
"293","ncbi","Cerdale paludicola",NA,NA,NA,NA
"294","ncbi","Cerdale prolata",NA,NA,NA,NA
"295","ncbi","Clarkichthys bilineatus",NA,NA,NA,NA
"296","ncbi","Microdesmus affinis",NA,NA,NA,NA
"297","ncbi","Microdesmus dipus","Microdesmus","Gobiidae","Gobiiformes","Actinopteri"
"298","ncbi","Microdesmus dorsipunctatus","Microdesmus","Gobiidae","Gobiiformes","Actinopteri"
"299","ncbi","Microdesmus hildebrandi",NA,NA,NA,NA
"300","ncbi","Microdesmus intermedius",NA,NA,NA,NA
"301","ncbi","Microdesmus knappi",NA,NA,NA,NA
"302","ncbi","Microdesmus multiradiatus",NA,NA,NA,NA
"303","ncbi","Microdesmus retropinnis",NA,NA,NA,NA
"304","ncbi","Microdesmus suttkusi",NA,NA,NA,NA
"305","ncbi","Sphyraena lucasana","Sphyraena","Sphyraenidae",NA,"Actinopteri"
"306","ncbi","Cynoponticus coniceps",NA,NA,NA,NA
"307","ncbi","Phthanophaneron harveyi","Phthanophaneron","Anomalopidae","Trachichthyiformes","Actinopteri"
"308","ncbi","Bathygadus sulcatus",NA,NA,NA,NA
"309","ncbi","Coelorinchus dorsalis",NA,NA,NA,NA
"310","ncbi","Coelorinchus macrolepis",NA,NA,NA,NA
"311","ncbi","Coelorinchus notatus",NA,NA,NA,NA
"312","ncbi","Coelorinchus sexradiatus",NA,NA,NA,NA
"313","ncbi","Coelorinchus triocellatus",NA,NA,NA,NA
"314","ncbi","Coelorinchus weberi",NA,NA,NA,NA
"315","ncbi","Coryphaenoides camurus",NA,NA,NA,NA
"316","ncbi","Coryphaenoides dubius",NA,NA,NA,NA
"317","ncbi","Gadomus magnifilis",NA,NA,NA,NA
"318","ncbi","Plagiotremus iosodon",NA,NA,NA,NA
"319","ncbi","Equulites laterofenestra","Equulites","Leiognathidae","Chaetodontiformes","Actinopteri"
"320","ncbi","Hypoatherina crenolepis",NA,NA,NA,NA
"321","ncbi","Sebastapistes taeniophrys",NA,NA,NA,NA
"322","ncbi","Sillago argentifasciata",NA,NA,NA,NA
"323","ncbi","Gobionellus liolepis",NA,NA,NA,NA
"324","ncbi","Aplatophis zorro",NA,NA,NA,NA
"325","ncbi","Tanyemblemaria alleni",NA,NA,NA,NA
"326","ncbi","Ilypnus luculentus",NA,NA,NA,NA
"327","ncbi","Lythrypnus cobalus","Lythrypnus","Gobiidae","Gobiiformes","Actinopteri"
"328","ncbi","Gobiosoma nudum","Gobiosoma","Gobiidae","Gobiiformes","Actinopteri"
"329","ncbi","Cottoclinus canops",NA,NA,NA,NA
"330","ncbi","Paralabrax callaensis","Paralabrax","Serranidae","Perciformes","Actinopteri"
"331","ncbi","Heteroconger canabus",NA,NA,NA,NA
"332","ncbi","Gobiesox crassicorpus",NA,NA,NA,NA
"333","ncbi","Gordiichthys combibus",NA,NA,NA,NA
"334","ncbi","Labrisomus wigginsi",NA,NA,NA,NA
"335","ncbi","Paraclinus altivelis",NA,NA,NA,NA
"336","ncbi","Semicossyphus darwini","Semicossyphus","Labridae","Labriformes","Actinopteri"
"337","ncbi","Uropterygius polystictus",NA,NA,NA,NA
"338","ncbi","Gobiesox marijeanae",NA,NA,NA,NA
"339","ncbi","Paralabrax loro","Paralabrax","Serranidae","Perciformes","Actinopteri"
"340","ncbi","Xenichthys rupestris",NA,NA,NA,NA
"341","ncbi","Starksia posthon","Starksia","Labrisomidae","Blenniiformes","Actinopteri"
"342","ncbi","Gymnothorax eurygnathos",NA,NA,NA,NA
"343","ncbi","Gobiesox milleri",NA,NA,NA,NA
"344","ncbi","Opistognathus walkeri",NA,NA,NA,NA
"345","ncbi","Batrachoides walkeri",NA,NA,NA,NA
"346","ncbi","Lythrypnus rhizophora","Lythrypnus","Gobiidae","Gobiiformes","Actinopteri"
"347","ncbi","Notarius armbrusteri","Notarius","Ariidae","Siluriformes","Actinopteri"
"348","ncbi","Aboma etheostoma","Aboma","Gobiidae","Gobiiformes","Actinopteri"
"349","ncbi","Chriolepis tagus",NA,NA,NA,NA
"350","ncbi","Opistognathus brochus",NA,NA,NA,NA
"351","ncbi","Bollmannia marginalis","Bollmannia","Gobiidae","Gobiiformes","Actinopteri"
"352","ncbi","Atherinella nesiotes",NA,NA,NA,NA
"353","ncbi","Bollmannia gomezi",NA,NA,NA,NA
"354","ncbi","Opistognathus smithvanizi",NA,NA,NA,NA
"355","ncbi","Cathorops steindachneri","Cathorops","Ariidae","Siluriformes","Actinopteri"
"356","ncbi","Chaenopsis deltarrhis",NA,NA,NA,NA
"357","ncbi","Gobiesox stenocephalus",NA,NA,NA,NA
"358","ncbi","Merluccius gayi","Merluccius","Merlucciidae","Gadiformes","Actinopteri"
"359","ncbi","Halichoeres aestuaricola","Halichoeres","Labridae","Labriformes","Actinopteri"
"360","ncbi","Orthopristis forbesi","Orthopristis","Haemulidae","Lutjaniformes","Actinopteri"
"361","ncbi","Callechelys cliffi",NA,NA,NA,NA
"362","ncbi","Parrella fusca",NA,NA,NA,NA
