"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num"
"5363","Bregmaceros cantori","Bregmaceros","Bregmacerotidae","Gadiformes","Teleostei","Milliken &amp; Houde, 1984","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.05699999809,462.5
"5364","Beryx splendens","Beryx","Berycidae","Beryciformes","Teleostei","Lowe, 1834","1",NA,NA,NA,NA,"carnivorous",4.3,4000,"benthopelagic",0.3,740
"5365","Hemiramphus bermudensis","Hemiramphus","Hemiramphidae","Beloniformes","Teleostei","Collette, 1962","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.44,NA
"5366","Engraulis eurystole","Engraulis","Engraulidae","Clupeiformes","Teleostei","(Swain &amp; Meek, 1884)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.155,203
"5367","Erythrocles monodi","Erythrocles","Emmelichthyidae","Perciformes","Teleostei","Poll &amp; Cadenat, 1954","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.65,195
"5368","Antennarius pauciradiatus","Antennarius","Antennariidae","Lophiiformes","Teleostei","Schultz, 1957","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06300000191,39.5
"5369","Oligoplites palometa","Oligoplites","Carangidae","Perciformes","Teleostei","(Cuvier, 1832)","1",NA,NA,NA,NA,NA,NA,900,"benthopelagic",0.4970000076,31.5
"5370","Citharichthys arenaceus","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Evermann &amp; Marsh, 1900","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,NA
"5371","Anchoa hepsetus","Anchoa","Engraulidae","Clupeiformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.1530000019,35.5
"5372","Centropristis striata","Centropristis","Serranidae","Perciformes","Teleostei","(Linnaeus, 1758)","1",1.7,6.2,22.533,27,NA,4,4300,"reef-associated",0.66,NA
"5373","Anchovia clupeoides","Anchovia","Engraulidae","Clupeiformes","Teleostei","(Swainson, 1839)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.3,25
"5374","Harengula clupeola","Harengula","Clupeidae","Clupeiformes","Teleostei","(Cuvier, 1829)","1",1.2,3.8,75.7,116,NA,3.4,67.12000275,"reef-associated",0.18,NA
"5375","Centropristis philadelphica","Centropristis","Serranidae","Perciformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,90
"5376","Diplectrum formosum","Diplectrum","Serranidae","Perciformes","Teleostei","(Linnaeus, 1766)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,40.5
"5377","Anchoviella perfasciata","Anchoviella","Engraulidae","Clupeiformes","Teleostei","(Poey, 1860)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.11,25
"5378","Citharichthys arctifrons","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Goode, 1880","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.18,206
"5379","Bellator militaris","Bellator","Triglidae","Scorpaeniformes","Teleostei","(Goode &amp; Bean, 1896)","1",1.1,3.3,30.82,43,NA,NA,NA,"demersal",0.125,NA
"5380","Brotula barbata","Brotula","Ophidiidae","Ophidiiformes","Teleostei","(Bloch &amp; Schneider, 1801)","1",3.4,15.4,72.5167,130,NA,NA,8520,"reef-associated",0.94,NA
"5381","Taractes rubescens","Taractes","Bramidae","Perciformes","Teleostei","(Jordan &amp; Evermann, 1887)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.89,300
"5382","Ophidion antipholus","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","Lea &amp; Robins, 2003","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.21,39.5
"5383","Carapus bermudensis","Carapus","Carapidae","Ophidiiformes","Teleostei","(Jones, 1874)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,118
"5384","Atherinella brasiliensis","Atherinella","Atherinopsidae","Atheriniformes","Teleostei","(Quoy &amp; Gaimard, 1825)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1770000076,NA
"5385","Bothus maculiferus","Bothus","Bothidae","Pleuronectiformes","Teleostei","(Poey, 1860)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,NA
"5386","Citharichthys cornutus","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","(G<fc>nther, 1880)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1,215
"5387","Caulolatilus intermedius","Caulolatilus","Malacanthidae","Perciformes","Teleostei","Howell Rivero, 1936","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6,167.5
"5388","Cantherhines macrocerus","Cantherhines","Monacanthidae","Tetraodontiformes","Teleostei","(Hollard, 1853)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.46,21
"5389","Saurida suspicio","Saurida","Synodontidae","Aulopiformes","Teleostei","Breder, 1927","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.09,NA
"5390","Jenkinsia stolifera","Jenkinsia","Clupeidae","Clupeiformes","Teleostei","(Jordan &amp; Gilbert, 1884)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.04,25
"5391","Apionichthys dumerili","Apionichthys","Achiridae","Pleuronectiformes","Teleostei","Kaup, 1858","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1310000038,NA
"5392","Selene brownii","Selene","Carangidae","Perciformes","Teleostei","(Cuvier, 1816)","1",NA,NA,NA,NA,NA,NA,119.3000031,"demersal",0.29,NA
"5393","Selene setapinnis","Selene","Carangidae","Perciformes","Teleostei","(Mitchill, 1815)","1",2,8.4,84.05,118,NA,3.7,4600,"benthopelagic",0.6,NA
"5394","Selene vomer","Selene","Carangidae","Perciformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,NA,NA,2100,"demersal",0.4829999924,27
"5395","Seriola rivoliana","Seriola","Carangidae","Perciformes","Teleostei","Valenciennes, 1833","1",4.6,22.2,77.7667,287,"carnivorous",4.5,59870,"reef-associated",0.8,50
"5396","Seriola zonata","Seriola","Carangidae","Perciformes","Teleostei","(Mitchill, 1815)","1",NA,NA,NA,NA,NA,NA,5200,"benthopelagic",0.75,181.5
"5397","Trachinotus carolinus","Trachinotus","Carangidae","Perciformes","Teleostei","(Linnaeus, 1766)","1",2.1,9,88.85,67,NA,3.5,3760,"benthopelagic",0.64,NA
"5398","Trinectes microphthalmus","Trinectes","Achiridae","Pleuronectiformes","Teleostei","(Chabanaud, 1928)","1",NA,NA,NA,NA,NA,NA,4.5,"demersal",0.09399999619,NA
"5399","Melanorhinus microps","Melanorhinus","Atherinopsidae","Atheriniformes","Teleostei","(Poey, 1860)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.075,NA
"5400","Opsanus dichrostomus","Opsanus","Batrachoididae","Batrachoidiformes","Teleostei","Collette, 2001","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1260000038,3
"5401","Opsanus phobetron","Opsanus","Batrachoididae","Batrachoidiformes","Teleostei","Walters &amp; Robins, 1961","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.215,NA
"5402","Thalassophryne nattereri","Thalassophryne","Batrachoididae","Batrachoidiformes","Teleostei","Steindachner, 1876","1",NA,NA,NA,NA,NA,NA,230.8000031,"demersal",0.2129999924,NA
"5403","Brevoortia smithi","Brevoortia","Clupeidae","Clupeiformes","Teleostei","Hildebrand, 1941","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.33,25
"5404","Brevoortia tyrannus","Brevoortia","Clupeidae","Clupeiformes","Teleostei","(Latrobe, 1802)","1",1.8,6.6,84.05,62,NA,2.2,NA,"pelagic-neritic",0.5,NA
"5405","Anchoa colonensis","Anchoa","Engraulidae","Clupeiformes","Teleostei","Hildebrand, 1943","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.14,25
"5406","Anchoviella elongata","Anchoviella","Engraulidae","Clupeiformes","Teleostei","(Meek &amp; Hildebrand, 1923)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.11,NA
"5407","Cetengraulis edentulus","Cetengraulis","Engraulidae","Clupeiformes","Teleostei","(Cuvier, 1829)","1",5.3,18.7,58.3023,62,NA,2.1,21.10000038,"pelagic-neritic",0.166,NA
"5408","Antennatus bermudensis",NA,NA,NA,NA,"(Schultz, 1957)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07599999905,17
"5409","Antennarius multiocellatus","Antennarius","Antennariidae","Lophiiformes","Teleostei","(Valenciennes, 1837)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,33
"5410","Lophiodes reticulatus","Lophiodes","Lophiidae","Lophiiformes","Teleostei","Caruso &amp; Suttkus, 1979","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.25,442
"5411","Alionematichthys minyomma",NA,NA,NA,NA,"(Sedor &amp; Cohen 1987)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07789999962,4.5
"5412","Calamopteryx goslinei","Calamopteryx","Bythitidae","Ophidiiformes","Teleostei","B<f6>hlke &amp; Cohen, 1966","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06349999905,32
"5413","Ogilbia boehlkei",NA,NA,NA,NA,"M<f8>ller, Schwarzhans &amp; Nielsen, 2005","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.07,8
"5414","Ogilbia jeffwilliamsi",NA,NA,NA,NA,"M<f8>ller, Schwarzhans &amp; Nielsen, 2005","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.05599999905,7.5
"5415","Ogilbia suarezae",NA,NA,NA,NA,"M<f8>ller, Schwarzhans &amp; Nielsen, 2005","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.075,5
"5416","Ogilbichthys kakuki","Ogilbichthys","Bythitidae","Ophidiiformes","Teleostei","M<f8>ller, Schwarzhans &amp; Nielsen, 2004","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06699999809,7.5
"5417","Echiodon dawsoni","Echiodon","Carapidae","Ophidiiformes","Teleostei","Williams &amp; Shipp, 1982","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1119999981,120
"5418","Lepophidium aporrhox","Lepophidium","Ophidiidae","Ophidiiformes","Teleostei","Robins, 1961","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1889999962,116
"5419","Lepophidium jeannae","Lepophidium","Ophidiidae","Ophidiiformes","Teleostei","Fowler, 1941","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2960000038,152.5
"5420","Neobythites gilli","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Goode &amp; Bean, 1885","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.1489999962,145
"5421","Neobythites marginatus","Neobythites","Ophidiidae","Ophidiiformes","Teleostei","Goode &amp; Bean, 1886","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.2160000038,505
"5422","Ophidion grayi","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","(Fowler, 1948)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,35
"5423","Ophidion marginatum","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","DeKay, 1842","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,NA
"5424","Ophidion nocomis","Ophidion","Ophidiidae","Ophidiiformes","Teleostei","Robins &amp; B<f6>hlke, 1959","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08699999809,11.5
"5425","Parophidion schmidti","Parophidion","Ophidiidae","Ophidiiformes","Teleostei","(Woods &amp; Kanazawa, 1951)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"5426","Synagrops trispinosus","Synagrops","Acropomatidae","Perciformes","Teleostei","Mochizuki &amp; Sano, 1984","1",1.1,3.4,48.5754,50,NA,NA,NA,NA,0.115,NA
"5427","Brama caribbea","Brama","Bramidae","Perciformes","Teleostei","Mead, 1972","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-oceanic",0.25,400
"5428","Decapterus tabl","Decapterus","Carangidae","Perciformes","Teleostei","Berry, 1968","1",NA,NA,NA,NA,NA,NA,560,"demersal",0.5,278.5
"5429","Hemicaranx amblyrhynchus","Hemicaranx","Carangidae","Perciformes","Teleostei","(Cuvier, 1833)","1",NA,NA,NA,NA,NA,NA,NA,"pelagic-neritic",0.5,NA
"5430","Oligoplites saliens","Oligoplites","Carangidae","Perciformes","Teleostei","(Bloch, 1793)","1",1.8,7.2,54.4533,81,NA,3.8,900,"benthopelagic",0.5,NA
"5431","Trachinotus cayennensis","Trachinotus","Carangidae","Perciformes","Teleostei","Cuvier, 1832","1",2,8.4,4.95778,7,NA,NA,NA,"demersal",0.6,NA
"5432","Trachinotus falcatus","Trachinotus","Carangidae","Perciformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,NA,NA,36000,"reef-associated",1.22,18
"5433","Lepidocybium flavobrunneum","Lepidocybium","Gempylidae","Perciformes","Teleostei","(Smith, 1843)","1",7.1,36.2,94.855,312,NA,4.3,45000,"benthopelagic",2,NA
"5434","Opistognathus aurifrons","Opistognathus","Opistognathidae","Perciformes","Teleostei","(Jordan &amp; Thompson, 1905)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1,21.5
"5435","Opistognathus gilberti","Opistognathus","Opistognathidae","Perciformes","Teleostei","B<f6>hlke, 1967","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.06349999905,NA
"5436","Opistognathus macrognathus","Opistognathus","Opistognathidae","Perciformes","Teleostei","Poey, 1860","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,22
"5437","Opistognathus signatus","Opistognathus","Opistognathidae","Perciformes","Teleostei","Smith-Vaniz, 1997","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.08909999847,47.5
"5438","Hemanthias leptus","Hemanthias","Serranidae","Perciformes","Teleostei","(Ginsburg, 1952)","1",3.1,13,15.8147,21,NA,NA,NA,"demersal",0.5,NA
"5439","Plectranthias garrupellus","Plectranthias","Serranidae","Perciformes","Teleostei","Robins &amp; Starck, 1961","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,134
"5440","Bathyanthias cubensis","Bathyanthias","Serranidae","Perciformes","Teleostei","(Schultz, 1958)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",NA,389
"5441","Centropristis fuscula","Centropristis","Serranidae","Perciformes","Teleostei","Poey, 1861","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.15,NA
"5442","Diplectrum bivittatum","Diplectrum","Serranidae","Perciformes","Teleostei","(Valenciennes, 1828)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.25,NA
"5443","Diplectrum radiale","Diplectrum","Serranidae","Perciformes","Teleostei","(Quoy &amp; Gaimard, 1824)","1",2,7.1,72.4083,86,NA,4.1,101.4000015,"demersal",0.26,NA
"5444","Hypoplectrus aberrans","Hypoplectrus","Serranidae","Perciformes","Teleostei","Poey, 1868","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,9
"5445","Hypoplectrus chlorurus","Hypoplectrus","Serranidae","Perciformes","Teleostei","(Cuvier, 1828)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.1269999981,13
"5446","Hypoplectrus gemma","Hypoplectrus","Serranidae","Perciformes","Teleostei","Goode &amp; Bean, 1882","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,NA
"5447","Paralabrax dewegeri","Paralabrax","Serranidae","Perciformes","Teleostei","(Metzelaar, 1919)","1",2.8,11.4,4.7,10,NA,NA,1300,"reef-associated",0.43,NA
"5448","Serranus atrobranchus","Serranus","Serranidae","Perciformes","Teleostei","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.19,114.5
"5449","Serranus baldwini","Serranus","Serranidae","Perciformes","Teleostei","(Evermann &amp; Marsh, 1899)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.12,40.5
"5450","Serranus subligarius","Serranus","Serranidae","Perciformes","Teleostei","(Cope, 1870)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1,NA
"5451","Kathetostoma albigutta","Kathetostoma","Uranoscopidae","Perciformes","Teleostei","Bean, 1892","1",2.1,7.9,20.2047,23,NA,NA,NA,"demersal",0.28,NA
"5452","Bothus lunatus","Bothus","Bothidae","Pleuronectiformes","Teleostei","(Linnaeus, 1758)","1",4.3,17.8,56.3667,158,NA,4.4,NA,"reef-associated",0.46,NA
"5453","Symphurus piger","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(Goode &amp; Bean, 1886)","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.15,312
"5454","Symphurus plagiusa","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(Linnaeus, 1766)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.21,91.5
"5455","Symphurus tessellatus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","(Quoy &amp; Gaimard, 1824)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.22,43.5
"5456","Symphurus urospilus","Symphurus","Cynoglossidae","Pleuronectiformes","Teleostei","Ginsburg, 1951","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.1660000038,164.5
"5457","Ancylopsetta dilecta","Ancylopsetta","Paralichthyidae","Pleuronectiformes","Teleostei","(Goode &amp; Bean, 1883)","1",1.2,4.4,29.86583,35,NA,NA,NA,"demersal",0.25,NA
"5458","Ancylopsetta ommata","Ancylopsetta","Paralichthyidae","Pleuronectiformes","Teleostei","(Jordan &amp; Gilbert, 1883)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.25,57
"5459","Citharichthys valdezi","Citharichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Cervig<f3>n, 1986","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA
"5460","Paralichthys albigutta","Paralichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Jordan &amp; Gilbert, 1882","1",2.7,11.5,27.0885,39,NA,NA,2830,"demersal",0.71,NA
"5461","Paralichthys squamilentus","Paralichthys","Paralichthyidae","Pleuronectiformes","Teleostei","Jordan &amp; Gilbert, 1882","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.46,115.5
"5462","Syacium gunteri","Syacium","Paralichthyidae","Pleuronectiformes","Teleostei","Ginsburg, 1933","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,61
"5463","Scophthalmus aquosus","Scophthalmus","Scophthalmidae","Pleuronectiformes","Teleostei","(Mitchill, 1815)","1",3,11.8,29.982,39,NA,3.6,NA,"demersal",0.457,NA
"5464","Phenacoscorpius nebris","Phenacoscorpius","Scorpaenidae","Scorpaeniformes","Teleostei","Eschmeyer, 1965","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.1,415
"5465","Pontinus longispinis","Pontinus","Scorpaenidae","Scorpaeniformes","Teleostei","Goode &amp; Bean, 1896","1",NA,NA,NA,NA,NA,NA,556.5999756,"demersal",0.3160000038,257.5
"5466","Scorpaena agassizii","Scorpaena","Scorpaenidae","Scorpaeniformes","Teleostei","Goode &amp; Bean, 1896","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2,160.5
"5467","Scorpaena calcarata","Scorpaena","Scorpaenidae","Scorpaeniformes","Teleostei","Goode &amp; Bean, 1882","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.13,108.5
"5468","Scorpaena isthmensis","Scorpaena","Scorpaenidae","Scorpaeniformes","Teleostei","Meek &amp; Hildebrand, 1928","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.16,NA
"5469","Prionotus rubio","Prionotus","Triglidae","Scorpaeniformes","Teleostei","Jordan, 1886","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,NA
"5470","Aluterus heudelotii","Aluterus","Monacanthidae","Tetraodontiformes","Teleostei","Hollard, 1855","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.45,1001.5
"5471","Peristedion miniatum","Peristedion","Triglidae","Scorpaeniformes","Teleostei","Goode, 1880","1",3.4,12.9,35.3117,39,NA,3.7,NA,"bathydemersal",0.3,NA
"5472","Gempylus serpens","Gempylus","Gempylidae","Perciformes","Teleostei","Cuvier, 1829","1",4.5,20.6,76.48,335,NA,4.4,NA,"pelagic-oceanic",1,NA
"5473","Nealotus tripes","Nealotus","Gempylidae","Perciformes","Teleostei","Johnson, 1865","1",NA,NA,NA,NA,NA,NA,NA,"bathypelagic",0.25,1280
