"","genus_species","genus","family","order","class","iucn_authority","iucn_category","mature_age","longevity","lat_range","long_range","diet","trophic_level","mass_g","depth_zone","length_m","depth_num","iucn_text"
"2631","Lutjanus dodecacanthoides","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Bleeker, 1854)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,15.5,"Least Concern"
"2632","Lutjanus boutton","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Lacep<e8>de, 1802)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.35,26.5,"Least Concern"
"2633","Lutjanus sebae","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Cuvier, 1816)","1",4,18,73.0783,127,NA,4.3,32700,"reef-associated",1.16,NA,"Least Concern"
"2634","Lutjanus malabaricus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Bloch &amp; Schneider, 1801)","1",3.4,15.1,62.26,108,NA,4.5,7910,"reef-associated",1,NA,"Least Concern"
"2635","Symphorus nematophorus","Symphorus","Lutjanidae","Perciformes","Teleostei","(Bleeker, 1860)","1",NA,NA,NA,NA,NA,NA,13200,"reef-associated",1,60,"Least Concern"
"2636","Macolor macularis","Macolor","Lutjanidae","Perciformes","Teleostei","Fowler, 1931","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,46.5,"Least Concern"
"2637","Paracaesio xanthura","Paracaesio","Lutjanidae","Perciformes","Teleostei","(Bleeker, 1869)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,127.5,"Least Concern"
"2638","Etelis radiosus","Etelis","Lutjanidae","Perciformes","Teleostei","Anderson, 1981","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.8,225,"Least Concern"
"2639","Pristipomoides auricilla","Pristipomoides","Lutjanidae","Perciformes","Teleostei","(Jordan, Evermann &amp; Tanaka, 1927)","1",2,8,49.8533,128,NA,3.5,NA,"benthopelagic",0.45,NA,"Least Concern"
"2640","Lutjanus lemniscatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1828)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.65,41,"Least Concern"
"2641","Paracaesio gonzalesi","Paracaesio","Lutjanidae","Perciformes","Teleostei","Fourmanoir &amp; Rivaton, 1979","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.42,195,"Least Concern"
"2642","Lutjanus mizenkoi","Lutjanus","Lutjanidae","Perciformes","Teleostei","Allen &amp; Talbot, 1985","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.32,80,"Least Concern"
"2643","Lutjanus coeruleolineatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(R<fc>ppell, 1838)","1",2,7.7,19.3,29,NA,NA,NA,"reef-associated",0.4,NA,"Least Concern"
"2644","Lutjanus rivulatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Cuvier, 1828)","1",3,13.1,59.81,153,NA,4.1,11000,"reef-associated",0.8,NA,"Least Concern"
"2645","Lutjanus bengalensis","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Bloch, 1790)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,20,"Least Concern"
"2646","Aphareus rutilans","Aphareus","Lutjanidae","Perciformes","Teleostei","Cuvier, 1830","1",3.8,17.7,54.255,126,NA,4.1,11325,"reef-associated",1.1,NA,"Least Concern"
"2647","Parapristipomoides squamimaxillaris","Parapristipomoides","Lutjanidae","Perciformes","Teleostei","(Kami, 1973)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5129999924,295,"Least Concern"
"2648","Lutjanus bohar","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",7.3,31.4,57.4167,246,NA,4.1,12500,"reef-associated",0.9,NA,"Least Concern"
"2649","Apsilus fuscus","Apsilus","Lutjanidae","Perciformes","Teleostei","Valenciennes, 1830","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.75,157.5,"Least Concern"
"2650","Pristipomoides sieboldii","Pristipomoides","Lutjanidae","Perciformes","Teleostei","(Bleeker, 1854)","1",2,8.1,62.5833,164,NA,3.9,8400,"benthopelagic",0.79,NA,"Least Concern"
"2651","Lutjanus lunulatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Park, 1797)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,20,"Least Concern"
"2652","Pristipomoides argyrogrammicus","Pristipomoides","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1832)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,210,"Least Concern"
"2653","Lutjanus madras","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1831)","1",1.6,5.9,36.1276,123,NA,NA,NA,"reef-associated",0.3,NA,"Least Concern"
"2654","Lutjanus fulviflamma","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",2.5,9.4,64.5397,205,NA,3.8,NA,"reef-associated",0.35,NA,"Least Concern"
"2655","Pristipomoides zonatus","Pristipomoides","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1830)","1",3,12.2,48.6253,208,NA,3.8,1812,"benthopelagic",0.5,NA,"Least Concern"
"2656","Pinjalo lewisi","Pinjalo","Lutjanidae","Perciformes","Teleostei","Randall, Allen &amp; Anderson, 1987","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.5,85,"Least Concern"
"2657","Lutjanus vitta","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Quoy &amp; Gaimard, 1824)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,41,"Least Concern"
"2658","Lutjanus guilcheri","Lutjanus","Lutjanidae","Perciformes","Teleostei","Fourmanoir, 1959","1",2.7,11.4,31.3833,50,NA,3.6,NA,"demersal",0.6,NA,"Least Concern"
"2659","Lutjanus monostigma","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Cuvier, 1828)","1",3.1,13,59.8167,185,NA,4.3,NA,"reef-associated",0.6,NA,"Least Concern"
"2660","Lutjanus fulvus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Forster, 1801)","1",1.1,4,103.9688,189,NA,4.1,NA,"reef-associated",0.4,NA,"Least Concern"
"2661","Aprion virescens","Aprion","Lutjanidae","Perciformes","Teleostei","Valenciennes, 1830","1",4.4,20.6,63.4734,166,NA,4,15400,"reef-associated",1.12,NA,"Least Concern"
"2662","Paracaesio stonei","Paracaesio","Lutjanidae","Perciformes","Teleostei","Raj &amp; Seeto, 1983","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",0.5,260,"Least Concern"
"2663","Etelis coruscans","Etelis","Lutjanidae","Perciformes","Teleostei","Valenciennes, 1862","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.2,222.5,"Least Concern"
"2664","Pristipomoides typus","Pristipomoides","Lutjanidae","Perciformes","Teleostei","Bleeker, 1852","1",NA,NA,NA,NA,NA,NA,2200,"demersal",0.7,80,"Least Concern"
"2665","Lutjanus carponotatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Richardson, 1842)","1",2,7.7,53.5,63,NA,3.9,NA,"reef-associated",0.4,NA,"Least Concern"
"2666","Lutjanus gibbus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",1.8,7.1,55.5167,173,NA,3.6,NA,"reef-associated",0.5,NA,"Least Concern"
"2667","Lutjanus rufolineatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1830)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,29,"Least Concern"
"2668","Pristipomoides multidens","Pristipomoides","Lutjanidae","Perciformes","Teleostei","(Day, 1871)","1",3,13.1,57.66,118,NA,3.8,NA,"demersal",0.9,NA,"Least Concern"
"2669","Lutjanus fulgens","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1830)","1",2.7,11.4,36.4333,37,NA,4,NA,"demersal",0.6,NA,"Least Concern"
"2670","Paracaesio kusakarii","Paracaesio","Lutjanidae","Perciformes","Teleostei","Abe, 1960","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.6,205,"Least Concern"
"2671","Lutjanus sanguineus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Cuvier, 1828)","1",NA,NA,NA,NA,NA,NA,23000,"reef-associated",1,54.5,"Least Concern"
"2672","Lutjanus biguttatus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Valenciennes, 1830)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.25,19.5,"Least Concern"
"2673","Lutjanus semicinctus","Lutjanus","Lutjanidae","Perciformes","Teleostei","Quoy &amp; Gaimard, 1824","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.35,23,"Least Concern"
"2674","Lutjanus adetii","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Castelnau, 1873)","1",2.8,11,15.09,16,NA,3.7,NA,"reef-associated",0.5,NA,"Least Concern"
"2675","Randallichthys filamentosus","Randallichthys","Lutjanidae","Perciformes","Teleostei","(Fourmanoir, 1970)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.5,225,"Least Concern"
"2676","Pristipomoides flavipinnis","Pristipomoides","Lutjanidae","Perciformes","Teleostei","Shinohara, 1963","1",1.9,8,46.32,39,NA,3.6,NA,"reef-associated",0.5,NA,"Least Concern"
"2677","Symphorichthys spilurus","Symphorichthys","Lutjanidae","Perciformes","Teleostei","(G<fc>nther, 1874)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,32.5,"Least Concern"
"2678","Pinjalo pinjalo","Pinjalo","Lutjanidae","Perciformes","Teleostei","(Bleeker, 1850)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.8,57.5,"Least Concern"
"2679","Lutjanus vivanus","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Cuvier, 1828)","1",NA,NA,NA,NA,NA,NA,8320,"reef-associated",0.83,166,"Least Concern"
"2680","Lutjanus ehrenbergii","Lutjanus","Lutjanidae","Perciformes","Teleostei","(Peters, 1869)","1",1.8,6.8,45.2304,125,NA,4.4,NA,"reef-associated",0.35,NA,"Least Concern"
"2681","Anisotremus virginicus","Anisotremus","Haemulidae","Perciformes","Teleostei","(Linnaeus, 1758)","1",2.8,10.9,58.9191,64,NA,3.4,930,"reef-associated",0.406,NA,"Least Concern"
"2682","Haemulon flavolineatum","Haemulon","Haemulidae","Perciformes","Teleostei","(Desmarest, 1823)","1",2.2,8.1,36.534,43,NA,3.3,NA,"reef-associated",0.3,NA,"Least Concern"
"2683","Haemulon sciurus","Haemulon","Haemulidae","Perciformes","Teleostei","(Shaw, 1803)","1",2.4,9.5,24.23377,39,NA,3.4,750,"reef-associated",0.46,NA,"Least Concern"
"2684","Parapristipoma humile","Parapristipoma","Haemulidae","Perciformes","Teleostei","(Bowdich, 1825)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.375,NA,"Least Concern"
"2685","Parapristipoma octolineatum","Parapristipoma","Haemulidae","Perciformes","Teleostei","(Valenciennes, 1833)","1",NA,NA,NA,NA,"carnivorous",3.6,NA,"demersal",0.3,20,"Least Concern"
"2686","Plectorhinchus macrolepis","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Boulenger, 1899)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",0.45,NA,"Least Concern"
"2687","Plectorhinchus schotaf","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Forssk<e5>l, 1775)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.8,40,"Least Concern"
"2688","Plectorhinchus sordidus","Plectorhinchus","Haemulidae","Perciformes","Teleostei","(Klunzinger, 1870)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,13.5,"Least Concern"
"2689","Pomadasys jubelini","Pomadasys","Haemulidae","Perciformes","Teleostei","(Cuvier, 1830)","1",2.4,9.5,26.9,31,NA,3.3,NA,"demersal",0.6,NA,"Least Concern"
"2690","Pomadasys olivaceus","Pomadasys","Haemulidae","Perciformes","Teleostei","(Day, 1875)","1",3.4,14.3,53.295,44,NA,2.6,NA,"reef-associated",0.55,NA,"Least Concern"
"2691","Pomadasys perotaei","Pomadasys","Haemulidae","Perciformes","Teleostei","(Cuvier, 1830)","1",2.5,9.8,24.2834,31,NA,3.3,NA,"benthopelagic",0.36,NA,"Least Concern"
"2692","Pomadasys rogerii","Pomadasys","Haemulidae","Perciformes","Teleostei","(Cuvier, 1830)","1",3.7,15.9,20.6667,30,NA,3.6,NA,"benthopelagic",0.6,NA,"Least Concern"
"2693","Pomadasys striatus","Pomadasys","Haemulidae","Perciformes","Teleostei","(Gilchrist &amp; Thompson, 1908)","1",2.6,9.4,64.6,18,NA,NA,NA,"benthopelagic",0.22,NA,"Least Concern"
"2694","Starksia atlantica","Starksia","Labrisomidae","Perciformes","Teleostei","Longley, 1934","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.025,4.5,"Least Concern"
"2695","Starksia lepicoelia","Starksia","Labrisomidae","Perciformes","Teleostei","B<f6>hlke &amp; Springer, 1961","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.03400000095,14,"Least Concern"
"2696","Starksia sluiteri","Starksia","Labrisomidae","Perciformes","Teleostei","(Metzelaar, 1919)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.02799999952,22.5,"Least Concern"
"2697","Chlopsis bicolor","Chlopsis","Chlopsidae","Anguilliformes","Teleostei","Rafinesque, 1810","1",NA,NA,NA,NA,"carnivorous",3.7,NA,"demersal",0.36,185,"Least Concern"
"2698","Ariosoma balearicum","Ariosoma","Congridae","Anguilliformes","Teleostei","(Delaroche, 1809)","1",NA,NA,NA,NA,"carnivorous",3.9,NA,"reef-associated",0.45,60,"Least Concern"
"2699","Conger conger","Conger","Congridae","Anguilliformes","Teleostei","(Linnaeus, 1758)","1",9.2,46.1,71.98333,307,"carnivorous",4.3,110000,"demersal",1.75,52.5,"Least Concern"
"2700","Gymnothorax unicolor","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Delaroche, 1809)","1",NA,NA,NA,NA,"carnivorous",3.4,NA,"demersal",0.85,40.5,"Least Concern"
"2701","Muraena helena","Muraena","Muraenidae","Anguilliformes","Teleostei","Linnaeus, 1758","1",0.1,0,84.8948,210,"carnivorous",4.2,6450,"reef-associated",1.25,27.5,"Least Concern"
"2702","Apterichtus anguiformis","Apterichtus","Ophichthidae","Anguilliformes","Teleostei","(Peters, 1877)","1",NA,NA,NA,NA,"carnivorous",4,NA,"demersal",0.55,25,"Least Concern"
"2703","Apterichtus caecus","Apterichtus","Ophichthidae","Anguilliformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,"carnivorous",4.1,NA,"demersal",0.55,12.5,"Least Concern"
"2704","Echelus myrus","Echelus","Ophichthidae","Anguilliformes","Teleostei","(Linnaeus, 1758)","1",2.8,12.5,57.6667,15,"carnivorous",4.3,NA,"demersal",0.9,110,"Least Concern"
"2705","Ophisurus serpens","Ophisurus","Ophichthidae","Anguilliformes","Teleostei","(Linnaeus, 1758)","1",NA,NA,NA,NA,"carnivorous",4.1,NA,"demersal",1.9,175,"Least Concern"
"2706","Dysomma brevirostre","Dysomma","Synaphobranchidae","Anguilliformes","Teleostei","(Facciol<e0>, 1887)","1",NA,NA,NA,NA,"carnivorous",3.6,NA,"benthopelagic",NA,500,"Least Concern"
"2707","Congiopodus peruvianus","Congiopodus","Congiopodidae","Scorpaeniformes","Teleostei","(Cuvier, 1829)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2714999962,NA,"Least Concern"
"2708","Sebastes oculatus","Sebastes","Scorpaenidae","Scorpaeniformes","Teleostei","Valenciennes in Cuvier &amp; Valenciennes, 1833","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.4079999924,NA,"Least Concern"
"2709","Squalus suckleyi","Squalus","Squalidae","Squaliformes","Chondrichthyes","(Girard, 1854)","1",NA,NA,NA,NA,NA,NA,NA,"benthopelagic",1.4,629.5,"Least Concern"
"2710","Chilorhinus suensonii","Chilorhinus","Chlopsidae","Anguilliformes","Teleostei","L<fc>tken, 1852","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.18,NA,"Least Concern"
"2711","Chlopsis olokun","Chlopsis","Chlopsidae","Anguilliformes","Teleostei","(Robins &amp; Robins, 1966)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3020000076,123,"Least Concern"
"2712","Kaupichthys hyoproroides","Kaupichthys","Chlopsidae","Anguilliformes","Teleostei","(Str<f6>mman, 1896)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.3,48,"Least Concern"
"2713","Panturichthys isognathus","Panturichthys","Heterenchelyidae","Anguilliformes","Teleostei","Poll, 1953","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.325,95,"Least Concern"
"2714","Panturichthys longus","Panturichthys","Heterenchelyidae","Anguilliformes","Teleostei","(Ehrenbaum, 1915)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",1.49,NA,"Least Concern"
"2715","Panturichthys mauritanicus","Panturichthys","Heterenchelyidae","Anguilliformes","Teleostei","Pellegrin, 1913","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.84,515,"Least Concern"
"2716","Pythonichthys sanguineus","Pythonichthys","Heterenchelyidae","Anguilliformes","Teleostei","Poey, 1868","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4190000153,NA,"Least Concern"
"2717","Anarchias allardicei","Anarchias","Muraenidae","Anguilliformes","Teleostei","Jordan &amp; Starks, 1906","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.17,NA,"Least Concern"
"2718","Anarchias cantonensis","Anarchias","Muraenidae","Anguilliformes","Teleostei","Schultz 1943","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2189999962,NA,"Least Concern"
"2719","Anarchias leucurus","Anarchias","Muraenidae","Anguilliformes","Teleostei","Snyder 1904","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.115,26,"Least Concern"
"2720","Anarchias seychellensis","Anarchias","Muraenidae","Anguilliformes","Teleostei","Smith, 1962","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.29,17.5,"Least Concern"
"2721","Anarchias similis","Anarchias","Muraenidae","Anguilliformes","Teleostei","(Lea, 1913)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,100,"Least Concern"
"2722","Echidna amblyodon","Echidna","Muraenidae","Anguilliformes","Teleostei","(Bleeker, 1856)","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.205,11,"Least Concern"
"2723","Echidna catenata","Echidna","Muraenidae","Anguilliformes","Teleostei","Bloch, 1795","1",0.1,0,51.9191,152,NA,3.5,NA,"reef-associated",1.65,NA,"Least Concern"
"2724","Echidna leucotaenia","Echidna","Muraenidae","Anguilliformes","Teleostei","Schultz, 1943","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,12,"Least Concern"
"2725","Echidna nebulosa","Echidna","Muraenidae","Anguilliformes","Teleostei","Ahl, 1789","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1,24.5,"Least Concern"
"2726","Echidna peli","Echidna","Muraenidae","Anguilliformes","Teleostei","(Kaup, 1856)","1",0.1,0,51,19,NA,3.5,NA,"demersal",1,NA,"Least Concern"
"2727","Echidna unicolor","Echidna","Muraenidae","Anguilliformes","Teleostei","Schultz, 1953","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4,15,"Least Concern"
"2728","Enchelycore anatina","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Lowe, 1838)","1",NA,NA,NA,NA,"carnivorous",4,NA,"demersal",0.8,15.5,"Least Concern"
"2729","Enchelycore bayeri","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Schultz, 1953)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.7,32.5,"Least Concern"
"2730","Enchelycore bikiniensis","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Schultz, 1953)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,NA,"Least Concern"
"2731","Enchelycore carychroa","Enchelycore","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; B<f6>hlke, 1976","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.34,10.5,"Least Concern"
"2732","Enchelycore kamara","Enchelycore","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; B<f6>hlke, 1980","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.53,NA,"Least Concern"
"2733","Enchelycore lichenosa","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Jordan &amp; Snyder, 1901)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.9,14.5,"Least Concern"
"2734","Enchelycore nigricans","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Bonnaterre, 1788)","1",NA,NA,NA,NA,NA,NA,1320,"reef-associated",1,30.5,"Least Concern"
"2735","Enchelycore pardalis","Enchelycore","Muraenidae","Anguilliformes","Teleostei","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.92,34,"Least Concern"
"2736","Enchelycore ramosa","Enchelycore","Muraenidae","Anguilliformes","Teleostei","Griffin, 1926","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.5,NA,"Least Concern"
"2737","Gymnomuraena zebra","Gymnomuraena","Muraenidae","Anguilliformes","Teleostei","(Shaw, 1797)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1.5,26.5,"Least Concern"
"2738","Gymnothorax afer","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Bloch, 1795","1",0.1,0,62.95,158,NA,NA,NA,NA,1,NA,"Least Concern"
"2739","Gymnothorax albimarginatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Temminck &amp; Schlegel, 1846)","1",NA,NA,NA,NA,NA,NA,613.9000244,"reef-associated",0.89,93,"Least Concern"
"2740","Gymnothorax annasona","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Whitley, 1937","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.5529999924,NA,"Least Concern"
"2741","Gymnothorax australicola","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Lavenberg, 1992","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.375,22.5,"Least Concern"
"2742","Gymnothorax bathyphilus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Randall &amp; McCosker, 1975","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.7640000153,NA,"Least Concern"
"2743","Gymnothorax berndti","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Snyder, 1904","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1,166.5,"Least Concern"
"2744","Gymnothorax breedeni","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","McCosker &amp; Randall, 1977","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1,22,"Least Concern"
"2745","Gymnothorax castlei","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; Randall, 1999","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2289999962,19.5,"Least Concern"
"2746","Gymnothorax cephalospilus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; McCosker, 2001","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.2020000076,129.5,"Least Concern"
"2747","Gymnothorax chilospilus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Bleeker, 1864","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.505,23,"Least Concern"
"2748","Gymnothorax chlamydatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Snyder, 1908","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,17.5,"Least Concern"
"2749","Gymnothorax conspersus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Poey, 1867","1",NA,NA,NA,NA,NA,NA,NA,"bathydemersal",1.1,205,"Least Concern"
"2750","Gymnothorax cribroris","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Whitley, 1932","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.75,NA,"Least Concern"
"2751","Gymnothorax elegans","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Bliss, 1883","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6469999695,271,"Least Concern"
"2752","Gymnothorax enigmaticus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","McCosker &amp; Randall, 1982","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.58,NA,"Least Concern"
"2753","Gymnothorax eurostus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Abbott, 1860)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.6,37.5,"Least Concern"
"2754","Gymnothorax favagineus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Bloch &amp; Schneider, 1801","1",0.1,0,59.82,142,NA,4.2,NA,"reef-associated",3,NA,"Least Concern"
"2755","Gymnothorax fimbriatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Bennett, 1832)","1",NA,NA,NA,NA,NA,NA,1463.599976,"reef-associated",0.9340000153,28.5,"Least Concern"
"2756","Gymnothorax flavimarginatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(R<fc>ppell, 1830)","1",0.1,0,63.0373,254,NA,4.2,NA,"reef-associated",2.4,NA,"Least Concern"
"2757","Gymnothorax flavoculus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(B<f6>hlke &amp; Randall, 1996)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.4070000076,3,"Least Concern"
"2758","Gymnothorax formosus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Bleeker, 1864","1",NA,NA,NA,NA,NA,NA,NA,"demersal",NA,NA,"Least Concern"
"2759","Gymnothorax funebris","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Ranzani, 1839","1",NA,NA,NA,NA,NA,NA,29000,"reef-associated",2.5,25.5,"Least Concern"
"2760","Gymnothorax fuscomaculatus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Schultz, 1953)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.2,NA,"Least Concern"
"2761","Gymnothorax gracilicauda","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Jenkins, 1903","1",0.1,0,40.562,74,NA,NA,NA,"reef-associated",0.32,NA,"Least Concern"
"2762","Gymnothorax griseus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Lacep<e8>de, 1803)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",0.65,20.5,"Least Concern"
"2763","Gymnothorax hepaticus","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(R<fc>ppell, 1830)","1",NA,NA,NA,NA,NA,NA,NA,"reef-associated",1,15,"Least Concern"
"2764","Gymnothorax herrei","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","Beebe &amp; Tee-Van, 1933","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,6,"Least Concern"
"2765","Gymnothorax hubbsi","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","B<f6>hlke &amp; B<f6>hlke, 1977","1",NA,NA,NA,NA,NA,NA,NA,"demersal",0.3,120,"Least Concern"
"2766","Gymnothorax isingteena","Gymnothorax","Muraenidae","Anguilliformes","Teleostei","(Richardson, 1845)","1",0.1,0,14.0258,13,NA,NA,NA,"reef-associated",1.8,NA,"Least Concern"
