date,data_src,class,order,family,genus_species,length_m,mature_age,longevity,lat_range,long_range,trophic_level
2013-02-01,fph,Actinopterygii,Perciformes,Blenniidae,Lipophrys pholis,0.3,2.7,9.4,115.6108,42,3.1
2013-02-01,fph,Actinopterygii,Clupeiformes,Engraulidae,Anchoa helleri,0.085,0.7,2,11.57,10,NA
2013-02-01,fph,Actinopterygii,Pleuronectiformes,Achiridae,Achirus lineatus,0.23,1.9,6.9,72.8767,64,3.7
2013-02-01,fph,Actinopterygii,Clupeiformes,Pristigasteridae,Ilisha africana,0.3,0.8,2.8,26.5333,31,3.4
2013-02-01,fph,Actinopterygii,Lophiiformes,Ceratiidae,Cryptopsaras couesii,0.073,5,14.7,142.4197,348,4.5
2013-02-01,fph,Actinopterygii,Aulopiformes,Bathysauridae,Bathysaurus mollis,0.78,0.1,0,74.1756,149,4.5
2013-02-01,fph,Actinopterygii,Ophidiiformes,Bythitidae,Cataetyx laticeps,0.65,4.2,17.9,92.7217,111,NA
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Harengula thrissina,0.125,1,3.2,33.53,40,3.1
2013-02-01,fph,Actinopterygii,Clupeiformes,Engraulidae,Anchoa lyolepis,0.12,0.8,2.3,66.5667,60,3.4
2013-02-01,fph,Actinopterygii,Clupeiformes,Engraulidae,Lycengraulis grossidens,0.235,3,10.9,51.475,40,3.6
2013-02-01,fph,Actinopterygii,Aulopiformes,Synodontidae,Saurida normani,0.45,1.4,5.2,29.81967,41,4.3
2013-02-01,fph,Actinopterygii,Clupeiformes,Clupeidae,Sardinella maderensis,0.373,2.2,8.5,45.9833,31,3.2
2013-02-01,fph,Actinopterygii,Clupeiformes,Engraulidae,Anchoa compressa,0.133,1,3.1,13.7416,47,3.4
2013-02-01,fph,Actinopterygii,Clupeiformes,Engraulidae,Engraulis mordax,0.248,2.4,8.5,35.03,69,3
